,1002010,1002035,1002036,1002037,1002038,1003083
主/副驾驶座安全气囊,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-
胎压监测装置,-,-,-,-,-,-
零胎压继续行驶,-,-,-,-,-,-
安全带未系提示,-,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
并线辅助,-,-,-,-,-,-
前/后驻车雷达,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
倒车视频影像,●,○,○,○,●,●
全景摄像头,-,-,-,-,-,-
定速巡航,-,-,-,-,-,-
发动机启停技术,-,-,-,-,-,-
上坡辅助,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-
全景天窗,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
铝合金轮圈,●,○,○,○,●,●
电动吸合门,-,-,-,-,-,-
侧滑门,手动侧滑门,单侧电动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,单侧电动侧滑门
电动后备厢,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-
发动机电子防盗,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●
无钥匙启动系统,-,-,-,-,-,-
无钥匙进入系统,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,●
方向盘调节,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,●
座椅材质,织物,织物,织物,织物,织物,真皮
运动风格座椅,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,●
腰部支撑调节,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,主●&nbsp;/&nbsp;副-
第二排靠背角度调节,○,-,○,○,○,●
第二排座椅移动,○,-,○,○,○,●
后排座椅电动调节,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-
第三排座椅,3座,-,3座,3座,3座,3座
后排座椅放倒方式,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-
GPS导航系统,●,○,○,○,●,●
定位互动服务,-,-,-,-,-,-
中控台彩色大屏,●,○,○,○,●,●
蓝牙/车载电话,-,-,-,-,-,-
车载电视,-,-,-,-,-,●
后排液晶屏,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,-,-,-,-,-,-
CD/DVD,单碟DVD,单碟CD(选装单碟DVD),单碟CD(选装单碟DVD),单碟CD(选装单碟DVD),单碟DVD,单碟DVD
扬声器品牌,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●
大灯高度可调,-,-,-,-,-,●
大灯清洗装置,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
车窗防夹手功能,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-
后视镜电动调节,●,-,-,-,●,●
后视镜加热,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,●
后排侧遮阳帘,-,-,-,-,-,●
后排侧隐私玻璃,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-
后雨刷,-,-,-,-,-,●
感应雨刷,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,●,-,●,●,●,●
后座出风口,●,-,●,●,●,●
温度分区控制,●,-,●,●,●,●
车内空气调节/花粉过滤,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,海格H5V 2014款 2.8T营运版豪华型SC28R143Q4,海格H5V 2014款 2.8T多功能型SC28R143Q4,海格H5V 2014款 2.8T营运版经典型SC28R143Q4,海格H5V 2014款 2.8T团体版经典型SC28R143Q4,海格H5V 2014款 2.8T团体版豪华型SC28R143Q4,海格H5V 2014款 2.8T公务版豪华型SC28R143Q4
厂商指导价(元),24.18万,21.08万,21.18万,21.08万,24.08万,29.28万
厂商,苏州金龙,苏州金龙,苏州金龙,苏州金龙,苏州金龙,苏州金龙
级别,轻客,轻客,轻客,轻客,轻客,轻客
能源类型,柴油,柴油,柴油,柴油,柴油,柴油
上市时间,2013.12,2013.12,2013.12,2013.12,2013.12,2014.12
工信部纯电续驶里程(km),-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-
发动机,2.8T 143马力 L4,2.8T 143马力 L4,2.8T 143马力 L4,2.8T 143马力 L4,2.8T 143马力 L4,2.8T 143马力 L4
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
长*宽*高(mm),5910×1993×2540,5910×1993×2540,5910×1993×2540,5910×1993×2540,5910×1993×2540,5910×1993×2540
车身结构_x,客车,客车,客车,客车,客车,客车
最高车速(km/h),140,140,140,140,140,140
工信部综合油耗(L/100km),10.1,10.1,10.1,10.1,10.1,10.1
整车质保,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里
长度(mm),5910,5910,5910,5910,5910,5910
