Feature,29988,31528,31606,31607,31608,31609,33262,33263
高度(mm),1622,1622,1622,1622,1622,1622,1622,1622
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-
长度(mm),4195,4195,4195,4195,4195,4195,4195,4195
长*宽*高(mm),4195*1780*1622,4195*1780*1622,4195*1780*1622,4195*1780*1622,4195*1780*1622,4195*1780*1622,4195*1780*1622,4195*1780*1622
铝合金轮圈,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),2580,2580,2580,2580,2580,2580,2580,2580
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,-,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,-,●,●,●,●
车联网,●,●,●,-,●,●,●,●
车窗防夹手功能,●,-,-,-,-,●,-,-
车窗一键升降,主驾驶位,-,-,-,-,主驾驶位,-,-
