Feature,59604,59605,59606,59607,59608,59609,59610,59611,59612,59613,59614,59615,59616,59617,59618,59619,61855,61856,61857,61858,62925,62926
高度(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,,,,,,,,,,,,,-,-,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749
长*宽*高(mm),4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-
透明底盘/540度影像,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
远程启动功能,-,-,-,-,,,,,,,,,,,,,-,-,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-
轴距(mm),2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,●,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●
车载空气净化器,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,
车型名称,捷途X70 PLUS 2023款 1.5T 手动勇者 5座,捷途X70 PLUS 2023款 1.5T 手动勇者 7座,捷途X70 PLUS 2023款 1.5T 手动勇者PRO 5座,捷途X70 PLUS 2023款 1.5T 手动勇者PRO 7座,捷途X70 PLUS 2023款 1.5T DCT勇者PLUS 5座,捷途X70 PLUS 2023款 1.5T DCT勇者PLUS 7座,捷途X70 PLUS 2023款 1.6T DCT强者 5座,捷途X70 PLUS 2023款 1.6T DCT强者 7座,捷途X70 PLUS 2023款 1.6T DCT强者PRO 5座,捷途X70 PLUS 2023款 1.6T DCT强者PRO 7座,捷途X70 PLUS 2023款 1.6T DCT强者PRO+ 5座,捷途X70 PLUS 2023款 1.6T DCT强者PRO+ 7座,捷途X70 PLUS 2023款 1.6T DCT强者PLUS 5座,捷途X70 PLUS 2023款 1.6T DCT强者PLUS 7座,捷途X70 PLUS 2023款 2.0T DCT 强者MAX 5座,捷途X70 PLUS 2023款 2.0T DCT 强者MAX 7座,捷途X70 PLUS 2023款 1.5T 手动自强 5座,捷途X70 PLUS 2023款 1.5T 手动自强 7座,捷途X70 PLUS 2023款 1.5T DCT自强PRO 5座,捷途X70 PLUS 2023款 1.5T DCT自强PRO 7座,捷途X70 PLUS 2022款 1.5T CVT尊享版 5座,捷途X70 PLUS 2022款 1.5T CVT尊享版 7座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,,,,,,,,,,,,,-,-,-,-,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,
行程(mm),80.5,80.5,80.5,80.5,80.5,80.5,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,-,-,80.5,80.5,80.5,80.5,80.5,80.5
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),77,77,77,77,77,77,77,77,77,77,77,77,77,77,-,-,77,77,77,77,77,77
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
