Feature,1009787
高度(mm),2055
驾驶辅助影像,
驱动电机数,单电机
驱动方式,后置后驱
陡坡缓降,-
长度(mm),5300
长*宽*高(mm),5300×1700×2055
钥匙类型,
远光灯光源,
近光灯光源,
轴距(mm),2890
轮圈材质,
车门数(个),4
车身结构_y,货车
车身结构_x,货车
车身稳定控制(ESC/ESP/DSC等),-
车窗防夹手功能,-
车型名称,航天金龙 2020款 纯电动厢式运输车中顶
车前雾灯,
车内环境氛围灯,-
车内化妆镜,-
车内中控锁,○
车体结构,非承载式
货箱尺寸(mm),-
行车电脑显示屏幕,-
蓝牙/车载电话,-
自适应远近光,-
自动驻车,-
自动头灯,-
能源类型,纯电动
胎压监测功能,-
缺气保用轮胎,-
级别,轻客
简称,电动车单速变速箱
第二排座椅调节,-
空调温度控制方式,
百公里耗电量(kWh/100km),16.8
电池组质保,5年或20万公里
电池类型,磷酸铁锂电池
电池容量(kWh),50.232
电池充电时间,-
电机类型,永磁/同步
电机布局,后置
电动机总扭矩(N·m),280
电动机总功率(kW),80
电动机(Ps),109
电动座椅记忆功能,-
电动后备厢,-
牵引力控制(ASR/TCS/TRC等),-
温度分区控制,-
最高车速(km/h),100
最小离地间隙(mm),140
最大载重质量(kg),1250
最大满载质量(kg),-
最大扭矩(N·m),280
最大功率(kW),80
无钥匙进入功能,-
无钥匙启动系统,-
方向盘记忆,-
方向盘材质,
方向盘换挡,-
方向盘加热,-
方向盘位置调节,
整车质保,三年或6万公里
整备质量(kg),1880
挡位个数,1
扬声器数量,
扬声器品牌名称,-
慢充时间(小时),-
感应雨刷功能,-
快充电量百分比,-
快充电量(%),-
快充时间(小时),-
座椅材质,
座位数(个),2
并线辅助,-
工信部续航里程(km),320
工信部纯电续航里程(km),320
巡航系统,-
宽度(mm),1700
安全带未系提醒,
天窗类型,-
大灯高度可调,●
多媒体/充电接口,-
多功能方向盘,-
外后视镜功能,
后雨刷,-
后轮距(mm),1450
后轮胎规格,195 R15LT
后电动机最大扭矩(N·m),280
后电动机最大功率(kW),80
后排车门开启方式,侧滑门
后排独立空调,-
后排杯架,-
后排座椅放倒形式,-
后悬架类型,钢板弹簧非独立悬架
后座出风口,-
后制动器类型,鼓式
变速箱类型,固定齿比变速箱
厂商指导价(元),14.88万~17.88万
厂商,航天神州汽车
卫星导航系统,-
助力类型,电动助力
副座椅调节方式,
前轮距(mm),1450
前轮胎规格,195 R15LT
前电动机最大扭矩(N·m),-
前电动机最大功率(kW),-
前排座椅功能,-
前悬架类型,双横臂式独立悬架
前制动器类型,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后○
前/后电动车窗,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-
前/后排侧气囊,-
前/后中央扶手,-
刹车辅助(EBA/BAS/BA等),-
制动力分配(EBD/CBC等),●
准拖挂车总质量(kg),-
内后视镜功能,-
全液晶仪表盘,-
侧滑门形式,
主座椅调节方式,
主/副驾驶座电动调节,-
主/副驾驶座安全气囊,-
中控彩色屏幕,-
上市时间,2020.07
上坡辅助,-
LED日间行车灯,-
ISOFIX儿童座椅接口,-
ABS防抱死,●
