Feature,1007921,1007922,1007923,1007930,1007931,1007932,1007933,1007934,1007935,1007936,1007937,1007938,1008707,1008708,1008709,1008710,1008711,1008712,1008713,1008714,1008715,1008716,1008717,1008718,1009786,1009883,1009884,1009885,1011215,1011216,1011217,1011470,1011471,1011472,1011473,1011474,1011475,1011476,1011477,1011678,1011679,1011680,1011681,1011682,1011683,1011684,1011685
高度(mm),2050,2500,2530,2065,2500,2530,2050,2490,2520,2065,2490,2535,2050,2495,2535,2065,2485,2535,2050,2495,2535,2065,2505,2535,2580,2535,2050,2065,2050,2570,2520,2050,2065,2495,2485,2585,2586,2535,2535,2495,2505,2585,2535,2535,2050,2065,2535
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5235,5400,5415,5325,5510,5505,5535,5650,5650,5785,5870,5875,5580,5655,5655,5810,5880,5880,5280,5410,5410,5350,5505,5505,5250,5410,5380,5350,4970,5050,5050,5580,5810,5655,5880,5650,5890,5655,5880,5410,5505,5420,5410,5505,5280,5350,5880
长*宽*高(mm),5235×1725×2050,5400×1725×2500,5415×1810×2530,5325×1725×2065,5510×1725×2500,5505×1750×2530,5535×1725×2050,5650×1725×2490,5650×1810×2520,5785×1725×2065,5870×1725×2490,5875×1750×2535,5580×1750×2050,5655×1750×2495,5655×1820×2535,5810×1750×2065,5880×1750×2485,5880×1760×2535,5280×1750×2050,5410×1750×2495,5410×1820×2535,5350×1750×2065,5505×1750×2505,5505×1760×2535,5250×1725×2580,5410×1820×2535,5380×1750×2050,5350×1750×2065,4970×1685×2050,5050×1720×2570,5050×1725×2520,5580×1750×2050,5810×1750×2065,5655×1750×2495,5880×1750×2485,5650×1840×2585,5890×1840×2586,5655×1820×2535,5880×1760×2535,5410×1750×2495,5505×1750×2505,5420×1840×2585,5410×1820×2535,5505×1760×2535,5280×1750×2050,5350×1750×2065,5880×1760×2535
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3400,3400,3400,3400,3400,3400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,2980,2980,2980,3600,3600,3600,3600,3600,3600,3600,3600,3400,3400,3400,3400,3400,3400,3400,3600
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,2,4,4,4,2,2,2,4,4,4,2,2,2,4,4,4,2,2,2,4,4,4,2,2,2,4,2,2,2,2,4,2,4,2,4,2,4,2,4,2,2,4,2,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
