Feature,1002798,1002799
高度(mm),2755,2755
驱动电机数,-,-
驱动方式,中置后驱,中置后驱
零胎压继续行驶,-,-
陡坡缓降,-,-
防紫外线玻璃,-,-
长度(mm),7080,7080
长*宽*高(mm),7080×2035×2755,7080×2035×2755
铝合金轮圈,-,-
配气机构,未知,未知
遮阳板化妆镜,-,-
遥控钥匙,-,-
道路救援呼叫,-,-
远光灯,卤素,卤素
进气形式,涡轮增压,涡轮增压
近光灯,卤素,卤素
运动风格座椅,-,-
运动外观套件,-,-
轴距(mm),4085,4085
转向辅助灯,-,-
转向头灯,-,-
车顶行李架,-,-
车门数(个),2,2
车载电视,-,-
车载冰箱,-,-
车身结构_y,客车,客车
车身结构_x,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-
车窗防夹手功能,-,-
车型名称,康恩迪 2014款 4.0T 高级版,康恩迪 2014款 4.0T 豪华版
车内空气调节/花粉过滤,-,-
车内氛围灯,-,-
车内中控锁,-,-
车体结构,非承载式,非承载式
货箱尺寸(mm),-,-
行车电脑显示屏,-,-
行程(mm),118,118
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
膝部气囊,-,-
腰部支撑调节,-,-
能源类型,柴油,柴油
胎压监测装置,-,-
肩部支撑调节,-,-
缸盖材料,未知,未知
缸径(mm),103,103
缸体材料,未知,未知
级别,轻客,轻客
简称,5挡手动,5挡手动
第二排靠背角度调节,-,-
第二排座椅移动,-,-
第三排座椅,3座,3座
空调控制方式,手动●,手动●
空气悬架,-,-
皮质方向盘,-,●
百公里耗电量(kWh/100km),-,-
电池组质保,-,-
电池类型,-,-
电池容量(kWh),-,-
电池充电时间,-,-
电机类型,-,-
电机布局,-,-
电动机总扭矩(N·m),-,-
电动机总功率(kW),-,-
电动座椅记忆,-,-
电动天窗,-,-
电动吸合门,-,-
电动后备厢,-,-
环保标准,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-
燃油标号,0号,0号
燃料形式,柴油,柴油
温度分区控制,-,-
油箱容积(L),90,90
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),未知,未知
最高车速(km/h),139,139
最小离地间隙(mm),140,140
最大马力(Ps),150,150
最大载重质量(kg),-,-
最大扭矩转速(rpm),1400,1400
最大扭矩(N·m)_y,579,579
最大扭矩(N·m)_x,-,-
最大功率转速(rpm),2500,2500
最大功率(kW)_y,110,110
最大功率(kW)_x,-,-
无钥匙进入系统,-,-
无钥匙启动系统,-,-
方向盘调节,-,-
方向盘记忆,-,-
方向盘电动调节,-,-
方向盘换挡,-,-
方向盘加热,-,-
整车质保,三年或15万公里,三年或15万公里
整备质量(kg),4400,4400
排量(mL),3933,3933
挡位个数,5,5
扬声器品牌,-,-
扬声器个数,6-7喇叭,6-7喇叭
感应雨刷,-,-
感应后备厢,-,-
快充电量(%),-,-
座椅高低调节,-,-
座椅材料,织物,真皮
座位数(个),20/23,20/23
并线辅助,-,-
工信部综合油耗(L/100km),-,-
工信部续航里程(km),-,-
宽度(mm),2035,2035
定速巡航,-,-
安全带未系提示,-,-
大灯高度可调,-,-
大灯清洗装置,-,-
多功能方向盘,-,-
外接音源接口,AUX,AUX
后风挡遮阳帘,-,-
后雨刷,●,●
后轮距(mm),1495,1495
后轮胎规格,205/75 R17.5,205/75 R17.5
后视镜记忆,-,-
后视镜电动调节,-,-
后视镜电动折叠,-,-
后视镜加热,-,-
后电动机最大扭矩(N·m),-,-
后电动机最大功率(kW),-,-
后桥限滑差速器/差速锁,-,-
后排车门开启方式,折叠门,折叠门
后排独立空调,-,-
后排液晶屏,-,-
后排杯架,-,-
后排座椅电动调节,-,-
后排座椅放倒方式,-,-
后排侧隐私玻璃,-,-
后排侧遮阳帘,●,●
后悬架类型,3*LTL,3*LTL
后座出风口,●,●
后制动器类型,鼓式,鼓式
可变转向比,-,-
可变悬架,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动
发动机电子防盗,-,-
发动机型号,D4GA-F,D4GA-F
发动机启停技术,-,-
发动机,4.0T 150马力 L4,4.0T 150马力 L4
压缩比,-,-
厂商指导价(元),39.60万~39.80万,49.00万~49.80万
厂商,四川现代,四川现代
助力类型,液压助力,液压助力
前雾灯,●,●
前轮距(mm),1705,1705
前轮胎规格,205/75 R17.5,205/75 R17.5
前电动机最大扭矩(N·m),-,-
前电动机最大功率(kW),-,-
前桥限滑差速器/差速锁,-,-
前悬架类型,独立悬挂,独立悬挂
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,-,-
前/后电动车窗,-,-
前/后排座椅通风,-,-
前/后排座椅按摩,-,-
前/后排座椅加热,-,-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),-,-
内/外后视镜自动防眩目,-,-
全景摄像头,-,-
全景天窗,-,-
倒车视频影像,-,-
侧滑门,手动侧滑门,手动侧滑门
供油方式,直喷,直喷
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控台彩色大屏,-,-
中央差速器锁止功能,-,-
上市时间,2014.09,2014.09
上坡辅助,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
GPS导航系统,-,-
CD/DVD,单碟CD,单碟CD
ABS防抱死,●,●
220V/230V电源,-,-
