Feature,59671
高度(mm),2050
驾驶辅助影像,
驾驶模式切换,
驻车制动类型,脚刹
驱动方式,前置后驱
面部识别,-
隐藏电动门把手,-
陡坡缓降,-
限滑差速器/差速锁,-
长度(mm),5400
长*宽*高(mm),5400*1928*2050
钥匙类型,
配气机构,DOHC
道路救援呼叫,-
道路交通标识识别,-
远程启动功能,-
远光灯光源,
进气形式,涡轮增压
近光灯光源,
运动风格座椅,-
运动外观套件,○
轴距(mm),3430
轮圈材质,
转向辅助灯,-
转向头灯,-
车顶行李架,○
车门数(个),5
车门开启方式,平开门+侧滑门
车道偏离预警系统,-
车道保持辅助系统,-
车载空气净化器,○
车载电视,●
车载冰箱,○
车载CD/DVD,
车身结构_y,MPV
车身结构_x,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●
车联网,-
车窗防夹手功能,●
车窗一键升降功能,
车型名称,龙程VITO 2022款 2.0T 豪华型
车前雾灯,
车内香氛装置,○
车内环境氛围灯,
车内化妆镜,
车内中控锁,●
车内PM2.5过滤装置,●
车体结构,承载式
负离子发生器,○
语音识别控制系统,-
触摸式阅读灯,○
被动行人保护,-
行车电脑显示屏幕,
行李厢12V电源接口,○
蓝牙/车载电话,●
自适应远近光,-
自动驻车,-
自动泊车入位,-
自动头灯,●
膝部气囊,-
能源类型,汽油
胎压监测功能,
缺气保用轮胎,-
缸盖材料,铝合金
缸体材料,铝合金
级别,中大型MPV
简称,9挡手自一体
第二排独立座椅,●
第二排座椅调节,
第二排座椅电动调节,●
第二排座椅功能,
空调温度控制方式,
空气悬架,-
离去角(°),12
疲劳驾驶提示,●
电磁感应悬架,-
电动扰流板,-
电动座椅记忆功能,
电动吸合车门,-
电动后备厢位置记忆,-
电动后备厢,-
环保标准_y,国VI
环保标准_x,国VI
牵引力控制(ASR/TCS/TRC等),●
燃油标号,95号
燃料形式,汽油
灯光特色功能,-
满载最小离地间隙(mm),165
温度分区控制,●
液晶仪表尺寸,-
油箱容积(L),70
气缸数(个),4
气缸排列形式,L
每缸气门数(个),4
最高车速(km/h),185
最大马力(Ps),211
最大满载质量(kg),3100
最大扭矩转速(rpm),1500-4000
最大扭矩(N·m)_y,350
最大扭矩(N·m)_x,350
最大功率转速(rpm),5500
最大功率(kW)_y,155
最大功率(kW)_x,155
最大净功率(kW),155
无钥匙进入功能,-
无钥匙启动系统,-
方向盘记忆,-
方向盘材质,
方向盘换挡,●
方向盘加热,-
方向盘位置调节,
整车质保,三年或6万公里
整备质量(kg),2260
整体主动转向系统,-
接近角(°),16
排量(mL),1991
换挡形式,
挡位个数,9
扬声器数量,
扬声器品牌名称,
手机无线充电功能,
手机互联/映射,-
手势控制,-
感应雨刷功能,
感应后备厢,-
座椅材质,
座椅布局,
座位数(个),7
并线辅助,-
巡航系统,
导航路况信息显示,-
宽度(mm),1928
官方0-100km/h加速(s),-
安全带未系提醒,
天窗类型,
大灯高度可调,●
大灯清洗装置,-
大灯延时关闭,●
多层隔音玻璃,-
多媒体/充电接口,
多功能方向盘,●
外后视镜功能,
备胎规格,非全尺寸
后风挡遮阳帘,○
后雨刷,●
后轮距(mm),1646
后轮胎规格,235/55 R17
后排独立空调,●
后排液晶屏幕,
后排杯架,●
后排控制多媒体,○
后排座椅电动放倒,-
后排座椅放倒形式,
后排小桌板,○
后排侧隐私玻璃,○
后排侧窗遮阳帘,
后悬架类型,半拖曳臂式独立悬架
后座出风口,●
后备厢容积(L),450
后制动器类型,盘式
可变转向比,-
可变悬架功能,-
可加热喷水嘴,●
变速箱类型,手自一体变速箱(AT)
变速箱,9挡手自一体
发动机电子防盗,●
发动机布局,纵置
发动机型号,274 920
发动机启停技术,●
发动机,2.0T 211马力 L4
厂商指导价(元),88.80万
厂商,龙程汽车
卫星导航系统,●
助力类型,电动助力
加热/制冷杯架,-
副驾驶位后排可调节按钮,-
副座椅调节方式,
前轮距(mm),1666
前轮胎规格,235/55 R17
前排座椅功能,-
前悬架类型,麦弗逊式独立悬架
前大灯雨雾模式,-
前制动器类型,通风盘式
前/后驻车雷达,前○&nbsp;/&nbsp;后○
前/后电动车窗,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后-
前/后排侧气囊,-
前/后中央扶手,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●
制动力分配(EBD/CBC等),●
内置行车记录仪,-
内后视镜功能,
全液晶仪表盘,-
倒车车侧预警系统,-
侧滑门形式,
供油方式,直喷
主座椅调节方式,
主动降噪,-
主动闭合式进气格栅,-
主动刹车/主动安全系统,-
主/副驾驶座电动调节,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控彩色屏幕,
中控屏幕尺寸,
上市时间,2022.09
上坡辅助,●
WLTC综合油耗(L/100km),10.1
USB/Type-C接口数量,
OTA升级,-
LED日间行车灯,-
ISOFIX儿童座椅接口,○
HUD抬头数字显示,-
ABS防抱死,●
220V/230V电源,●
