Feature,1013803,1013804,1013805
高度(mm),1835,1980,1980
驾驶辅助影像,,,
驱动电机数,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-
限滑差速器/差速锁,-,-,-
长度(mm),5375,5375,5375
长*宽*高(mm),5375×1905×1835,5375×1905×1980,5375×1905×1980
钥匙类型,,,
道路救援呼叫,-,-,-
远光灯光源,,,
近光灯光源,,,
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),3085,3085,3085
轮圈材质,,,
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,-,-,-
车门数(个),4,4,4
车载电视,-,-,-
车载冰箱,-,-,-
车载CD/DVD,-,-,-
车身结构_y,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-
车窗防夹手功能,●,●,●
车型名称,域虎EV 2022款 4x2 LX JX1032PSEF5BEV,域虎EV 2022款 4x2 LX JX5032XXYPSE5BEV,域虎EV 2022款 4x2 LX JX6540PF5BEV
车前雾灯,,,
车内环境氛围灯,-,-,-
车内化妆镜,-,-,-
车内中控锁,●,●,●
车体结构,非承载式,非承载式,非承载式
货箱尺寸(mm),1475x1475x500,1475x1605x1000,1475x1605x1000
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,-,-,-
膝部气囊,-,-,-
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
缺气保用轮胎,-,-,-
级别,皮卡,皮卡,皮卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空调温度控制方式,,,
空气悬架,-,-,-
百公里耗电量(kWh/100km),-,-,-
电池组质保,五年或20万公里,五年或20万公里,五年或20万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),60.16,60.16,60.16
电池充电时间,-,-,-
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,后置,后置,后置
电动机总扭矩(N·m),-,-,-
电动机总功率(kW),120,120,120
电动机(Ps),163,163,163
电动座椅记忆功能,-,-,-
电动吸合车门,-,-,-
电动后备厢位置记忆,-,-,-
电动后备厢,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-
温度分区控制,-,-,-
油箱容积(L),-,-,-
最高车速(km/h),100,100,100
最小离地间隙(mm),-,-,-
最大载重质量(kg),-,-,-
最大扭矩(N·m),-,-,-
最大功率(kW),120,120,120
无钥匙进入功能,-,-,-
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,-,-,-
整备质量(kg),2105,2200,2225
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,-,-
慢充时间(小时),-,-,-
感应雨刷功能,,,
感应后备厢,-,-,-
快充电量百分比,80,80,80
快充电量(%),80,80,80
快充时间(小时),0.5,0.5,0.5
座椅材质,,,
座位数(个),5,5,5
并线辅助,-,-,-
工信部续航里程(km),360,360,360
工信部纯电续航里程(km),360,360,360
巡航系统,,,
宽度(mm),1905,1905,1905
安全带未系提醒,,,
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯清洗装置,-,-,-
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
后风挡遮阳帘,-,-,-
后雨刷,-,-,-
后轮距(mm),1570,1570,1570
后轮胎规格,265/65 R17,265/65 R17,265/65 R17
后电动机最大扭矩(N·m),-,-,-
后电动机最大功率(kW),120,120,120
后排车门开启方式,平开门,平开门,平开门
后排独立空调,-,-,-
后排杯架,●,●,●
后排座椅电动调节,-,-,-
后排座椅放倒形式,-,-,-
后排座椅功能,-,-,-
后排侧隐私玻璃,-,-,-
后排侧窗遮阳帘,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,●,●,●
后制动器类型,盘式,盘式,盘式
可变转向比,-,-,-
可变悬架功能,-,-,-
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),26.28万,28.88万,29.58万
厂商,江铃汽车,江铃汽车,江铃汽车
卫星导航系统,-,-,-
助力类型,电动助力,电动助力,电动助力
副座椅调节方式,,,
前轮距(mm),1570,1570,1570
前轮胎规格,265/65 R17,265/65 R17,265/65 R17
前电动机最大扭矩(N·m),-,-,-
前电动机最大功率(kW),-,-,-
前排座椅功能,-,-,-
前悬架类型,双横臂螺旋弹簧,双横臂螺旋弹簧,双横臂螺旋弹簧
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),-,-,-
制动力分配(EBD/CBC等),●,●,●
内后视镜功能,,,
全液晶仪表盘,-,-,-
侧滑门形式,-,-,-
主座椅调节方式,,,
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
上市时间,2022.04,2022.04,2022.04
上坡辅助,-,-,-
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,-,●,●
ABS防抱死,●,●,●
220V/230V电源,-,-,-
