Feature,1009560,1010262,1010264,1010266,1010339,1010341,1010342,1010344,1010345,1010346,1010347,1010348,1010349,1010350,1010351,1010352,1010353,1010354,1010355,1010356,1010357,1010358,1010359,1010360,1010361,1010362,1010363,1010364,1010365,1010366,1010367,1010368,1010369,1010371,1010373,1010375,1010377,1010379,1011097,1011098,1011099,1011100,1011101,1011102,1011103,1011104,1013133,1013134,1013135,1013136,1013137,1013138,1013139,1013140,1013141,1013142,1013143,1013144,1013145,1013146,1013147,1013148,1013150,1013151,1013797,1013798
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车型名称,大将军G9 2021款 2.5T野战大将军手动四驱运动版旗舰型标箱JE4D25Q6A,大将军G9 2021款 2.5T装甲大将军手动两驱休闲版乐享型标箱JE4D25Q6A,大将军G9 2021款 2.0T装甲大将军手动两驱休闲版乐享型标箱4F20TC,大将军G9 2021款 2.0T野战大将军手动四驱运动版旗舰型标箱4F20TC,大将军G9 2021款 2.5T装甲大将军手动两驱休闲版乐享型长箱JE4D25Q6A,大将军G9 2021款 2.0T装甲大将军手动两驱休闲版乐享型长箱4F20TC,大将军G9 2021款 2.5T野战大将军手动四驱运动版旗舰型长箱JE4D25Q6A,大将军G9 2021款 2.0T野战大将军手动四驱运动版旗舰型长箱4F20TC,大将军G9 2021款 2.5T装甲大将军手动四驱休闲版乐享型标箱JE4D25Q6A,大将军G9 2021款 2.0T装甲大将军手动四驱休闲版乐享型标箱4F20TC,大将军G9 2021款 2.5T装甲大将军手动四驱休闲版乐享型长箱JE4D25Q6A,大将军G9 2021款 2.0T装甲大将军手动四驱休闲版乐享型长箱4F20TC,大将军G9 2021款 2.5T装甲大将军手动两驱休闲版尊享型标箱JE4D25Q6A,大将军G9 2021款 2.0T装甲大将军手动两驱休闲版尊享型标箱4F20TC,大将军G9 2021款 2.5T装甲大将军手动两驱休闲版尊享型长箱JE4D25Q6A,大将军G9 2021款 2.0T装甲大将军手动两驱休闲版尊享型长箱4F20TC,大将军G9 2021款 2.5T装甲大将军手动四驱休闲版尊享型标箱JE4D25Q6A,大将军G9 2021款 2.0T装甲大将军手动四驱休闲版尊享型标箱4F20TC,大将军G9 2021款 2.5T装甲大将军手动四驱休闲版尊享型长箱JE4D25Q6A,大将军G9 2021款 2.0T装甲大将军手动四驱休闲版尊享型长箱4F20TC,大将军G9 2021款 2.5T野战大将军手动四驱运动版尊享型标箱JE4D25Q6A,大将军G9 2021款 2.0T野战大将军手动四驱运动版尊享型标箱4F20TC,大将军G9 2021款 2.5T野战大将军手动四驱运动版尊享型长箱JE4D25Q6A,大将军G9 2021款 2.0T野战大将军手动四驱运动版尊享型长箱4F20TC,大将军G9 2021款 2.5T野战大将军手动两驱运动版尊享型标箱JE4D25Q6A,大将军G9 2021款 2.0T野战大将军手动两驱运动版尊享型标箱4F20TC,大将军G9 2021款 2.5T野战大将军手动两驱运动版尊享型长箱JE4D25Q6A,大将军G9 2021款 2.0T野战大将军手动两驱运动版尊享型长箱4F20TC,大将军G9 2021款 2.5T野战大将军手动两驱运动版旗舰型标箱JE4D25Q6A,大将军G9 2021款 2.0T野战大将军手动两驱运动版旗舰型标箱4F20TC,大将军G9 2021款 2.5T野战大将军手动两驱运动版旗舰型长箱JE4D25Q6A,大将军G9 2021款 2.0T野战大将军手动两驱运动版旗舰型长箱4F20TC,大将军G9 2021款 2.0T装甲大将军自动四驱休闲版尊享型标箱4G20TI5,大将军G9 2021款 2.0T装甲大将军自动两驱休闲版尊享型标箱4G20TI5,大将军G9 2021款 2.0T野战大将军自动四驱运动版旗舰型标箱4G20TI5,大将军G9 2021款 2.0T野战大将军自动两驱运动版旗舰型标箱4G20TI5,大将军G9 2021款 2.0T野战大将军自动四驱运动版尊享型标箱4G20TI5,大将军G9 2021款 2.0T野战大将军自动两驱运动版尊享型标箱4G20TI5,大将军G9 2021款 2.0T装甲大将军手动四驱休闲版乐享型标箱4G20TI5,大将军G9 2021款 2.0T装甲大将军手动四驱休闲版乐享型长箱4G20TI5,大将军G9 2021款 2.0T装甲大将军手动两驱休闲版乐享型标箱4G20TI5,大将军G9 2021款 2.0T装甲大将军手动两驱休闲版乐享型长箱4G20TI5,大将军G9 2021款 2.0T野战大将军手动四驱运动版旗舰型标箱4G20TI5,大将军G9 2021款 2.0T野战大将军手动两驱运动版旗舰型标箱4G20TI5,大将军G9 2021款 2.0T野战大将军手动四驱运动版尊享型标箱4G20TI5,大将军G9 2021款 2.0T野战大将军手动两驱运动版尊享型标箱4G20TI5,大将军G9 2022款 2.0T野战大将军自动四驱运动版旗舰型标箱4F20TC,大将军G9 2022款 2.0T野战大将军自动四驱运动版旗舰型长箱4F20TC,大将军G9 2022款 2.0T野战大将军自动两驱运动版旗舰型标箱4F20TC,大将军G9 2022款 2.0T野战大将军自动两驱运动版旗舰型长箱4F20TC,大将军G9 2022款 2.0T野战大将军自动四驱运动版尊享型标箱4F20TC,大将军G9 2022款 2.0T野战大将军自动四驱运动版尊享型长箱4F20TC,大将军G9 2022款 2.0T野战大将军自动两驱运动版尊享型标箱4F20TC,大将军G9 2022款 2.0T野战大将军自动两驱运动版尊享型长箱4F20TC,大将军G9 2022款 2.0T装甲大将军自动四驱休闲版尊享型标箱4F20TC,大将军G9 2022款 2.0T装甲大将军自动四驱休闲版尊享型长箱4F20TC,大将军G9 2022款 2.0T装甲大将军自动两驱休闲版尊享型标箱4F20TC,大将军G9 2022款 2.0T装甲大将军自动两驱休闲版尊享型长箱4F20TC,大将军G9 2022款 2.0T装甲大将军自动四驱休闲版乐享型标箱4F20TC,大将军G9 2022款 2.0T装甲大将军自动四驱休闲版乐享型长箱4F20TC,大将军G9 2022款 2.0T装甲大将军自动两驱休闲版乐享型标箱4F20TC,大将军G9 2022款 2.0T装甲大将军自动两驱休闲版乐享型长箱4F20TC,大将军G9 2022款 2.0T护国大将军自动四驱盛世型标箱4G20TI5,大将军G9 2022款 2.0T护国大将军自动两驱盛世型标箱4G20TI5,大将军G9 2022款 2.0T自动四驱尊享型标箱4G20TI5,大将军G9 2022款 2.0T自动四驱盛世版标箱4G20TI5
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
自动头灯,●,-,-,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,●,●,-,-,-,-,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
