Feature,1004022,1004023,1004028,1004029,1004030,1004032,1004033,1004034,1004035,1004036,1004037,1004038,1004039,1004505,1004506,1004507,1005467,1005468,1006029,1006030,1006031,1006032,1006033
高度(mm),2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285
驾驶辅助影像,-,-,-,-,-,,,,,,-,-,-,,-,-,-,-,-,,,,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4880,4880,4880,4880,4880,5420,5420,5420,5420,5420,5420,5420,5420,5990,5990,5990,4880,4880,5420,5420,5420,5420,4880
长*宽*高(mm),4880×1880×2285,4880×1880×2285,4880×1880×2285,4880×1880×2285,4880×1880×2285,5420×1880×2285,5420×1880×2285,5420×1880×2285,5420×1880×2285,5420×1880×2285,5420×1880×2285,5420×1880×2285,5420×1880×2285,5990×1880×2285,5990×1880×2285,5990×1880×2285,4880×1880×2285,4880×1880×2285,5420×1880×2285,5420×1880×2285,5420×1880×2285,5420×1880×2285,4880×1880×2285
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,未知,未知,DOHC,DOHC,未知,未知,未知,DOHC,未知,DOHC,未知,DOHC,未知,未知,未知,DOHC,未知,DOHC,未知,未知,未知,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,-,-,-,-,-
进气形式,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,-,-,-,-,-
轴距(mm),2570,2570,2570,2570,2570,3110,3110,3110,3110,3110,3110,3110,3110,3720,3720,3720,2570,2570,3110,3110,3110,3110,2570
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载CD/DVD,,,-,-,-,,,,,,,,-,,-,-,-,-,-,,,,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,金杯大海狮 2016款 2.4L大海狮W豪华型,金杯大海狮 2016款 2.5T大海狮W豪华型,金杯大海狮 2016款 2.5T大海狮W标准型,金杯大海狮 2016款 2.4L大海狮L快运厢货版,金杯大海狮 2016款 2.4L大海狮W快运厢货版,金杯大海狮 2016款 2.7L大海狮L丰田动力版自动,金杯大海狮 2016款 2.7L大海狮L丰田动力版手动,金杯大海狮 2016款 2.7L大海狮L领航型,金杯大海狮 2016款 2.4L大海狮L旗舰型,金杯大海狮 2016款 2.5T大海狮L旗舰型,金杯大海狮 2016款 2.4L大海狮L豪华型,金杯大海狮 2016款 2.5T大海狮L豪华型,金杯大海狮 2016款 2.4L大海狮L标准型,金杯大海狮 2016款 2.7L大海狮LL旗舰型,金杯大海狮 2016款 2.7L大海狮LL豪华型,金杯大海狮 2016款 2.8T大海狮LL豪华型JE4D28Q5F,金杯大海狮 2016款 2.4L大海狮W标准型,金杯大海狮 2016款 2.2L大海狮W快运盲窗版,金杯大海狮 2018款 2.4L大海狮L手动14座豪华型4RB2,金杯大海狮 2018款 2.7L大海狮L手动14座豪华型3TZ,金杯大海狮 2018款 2.7L大海狮L手动14座豪华型2TR,金杯大海狮 2018款 2.7L大海狮L自动14座豪华型2TR,金杯大海狮 2018款 2.4L大海狮W手动11座豪华型4RB2
车前雾灯,,,-,-,-,,,,,,,,-,,,,-,-,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
