,1000764,1000765,1000766
主/副驾驶座安全气囊,-,-,-
前/后排侧气囊,-,-,-
前/后排头部气囊(气帘),-,-,-
胎压监测装置,-,-,-
安全带未系提示,-,-,-
ISOFIX儿童座椅接口,-,-,-
ABS防抱死,●,●,●
制动力分配(EBD/CBC等),-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-
车身稳定控制(ESC/ESP/DSC等),-,-,-
前/后驻车雷达,-,-,-
倒车视频影像,●,-,●
定速巡航,-,-,-
电动天窗,-,-,-
全景天窗,-,-,-
铝合金轮圈,-,-,-
电动吸合门,-,-,-
侧滑门,手动侧滑门,手动侧滑门,手动侧滑门
电动后备厢,-,-,-
车顶行李架,-,-,-
发动机电子防盗,-,-,-
车内中控锁,-,-,-
遥控钥匙,-,-,-
无钥匙启动系统,-,-,-
无钥匙进入系统,-,-,-
皮质方向盘,-,-,●
方向盘调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-
多功能方向盘,-,-,-
行车电脑显示屏,-,-,-
座椅材质,织物,织物,真皮
座椅高低调节,-,-,-
腰部支撑调节,-,-,-
主/副驾驶座电动调节,-,-,-
第二排靠背角度调节,●,●,●
第二排座椅移动,-,-,-
后排座椅电动调节,-,-,-
前/后排座椅加热,-,-,-
第三排座椅,2座,2座,2座
后排座椅放倒方式,-,-,-
前/后中央扶手,-,-,-
后排杯架,●,●,●
GPS导航系统,●,-,●
中控台彩色大屏,●,-,●
车载电视,-,-,-
后排液晶屏,●,-,●
220V/230V电源,-,-,●
外接音源接口,-,-,-
CD/DVD,单碟DVD,-,单碟DVD
扬声器品牌,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭
近光灯,卤素,卤素,卤素
远光灯,卤素,卤素,卤素
LED日间行车灯,-,-,-
前雾灯,●,●,●
大灯高度可调,-,-,-
前/后电动车窗,-,-,-
车窗防夹手功能,-,-,-
防紫外线/隔热玻璃,●,●,●
后视镜电动调节,-,-,-
后视镜加热,-,-,-
后风挡遮阳帘,●,-,●
后排侧遮阳帘,●,-,●
遮阳板化妆镜,-,-,-
后雨刷,●,●,●
空调控制方式,手动●,手动●,手动●
后排独立空调,●,●,●
后座出风口,●,●,●
温度分区控制,-,-,-
车载冰箱,●,●,●
车型名称,碧莲 2011款 4.5L-VIP,碧莲 2011款 4.5L-STD,碧莲 2011款 4.5L-尊贵VIP
厂商指导价(元),97.80万,79.80万,126.80万
厂商,日产(进口),日产(进口),日产(进口)
级别,轻客,轻客,轻客
能源类型,汽油,汽油,汽油
上市时间,2011.11,2011.11,2011.11
最大功率(kW)_x,-,-,-
最大扭矩(N·m)_x,-,-,-
发动机,4.5L 180马力 L6,4.5L 180马力 L6,4.5L 180马力 L6
变速箱,5挡手动,5挡手动,5挡手动
长*宽*高(mm),6990×2075×2635,6990×2075×2635,6990×2075×2635
车身结构_x,客车,客车,客车
最高车速(km/h),-,-,-
工信部综合油耗(L/100km),-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),6990,6990,6990
宽度(mm),2075,2075,2075
高度(mm),2635,2635,2635
轴距(mm),3690,3690,3690
前轮距(mm),1675,1675,1675
后轮距(mm),1490,1490,1490
最小离地间隙(mm),190,190,190
整备质量(kg),-,-,-
车身结构_y,客车,客车,客车
车门数(个),2,2,2
座位数(个),18,21,12
后排车门开启方式,侧滑门,侧滑门,侧滑门
油箱容积(L),107,107,107
货箱尺寸(mm),-,-,-
最大载重质量(kg),-,-,-
简称,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱
前悬架类型,带横向稳定杆的叶片式弹簧,带横向稳定杆的叶片式弹簧,带横向稳定杆的叶片式弹簧
后悬架类型,带横向稳定杆的叶片式弹簧,带横向稳定杆的叶片式弹簧,带横向稳定杆的叶片式弹簧
助力类型,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式
前轮胎规格,7.00 R16,7.00 R16,7.00 R16
后轮胎规格,7.00 R16,7.00 R16,7.00 R16
发动机型号,-,-,-
排量(mL),4479,4479,4479
进气形式,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L
气缸数(个),6,6,6
每缸气门数(个),未知,未知,未知
压缩比,8.5,8.5,8.5
配气机构,未知,未知,未知
缸径(mm),99.5,99.5,99.5
行程(mm),96,96,96
最大马力(Ps),180,180,180
最大功率(kW)_y,132,132,132
最大功率转速(rpm),4400,4400,4400
最大扭矩(N·m)_y,322,322,322
最大扭矩转速(rpm),3600,3600,3600
燃料形式,汽油,汽油,汽油
燃油标号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷
缸盖材料,未知,未知,未知
缸体材料,未知,未知,未知
环保标准,国IV,国IV,国IV
电机类型,-,-,-
电动机总功率(kW),-,-,-
电动机总扭矩(N·m),-,-,-
前电动机最大功率(kW),-,-,-
前电动机最大扭矩(N·m),-,-,-
后电动机最大功率(kW),-,-,-
后电动机最大扭矩(N·m),-,-,-
驱动电机数,-,-,-
电机布局,-,-,-
电池类型,-,-,-
工信部续航里程(km),-,-,-
电池容量(kWh),-,-,-
百公里耗电量(kWh/100km),-,-,-
电池组质保,-,-,-
电池充电时间,-,-,-
快充电量(%),-,-,-
