Feature,1009124,1009125,1009126,1009127,1009128,1009129,1009130,1009131,1009132,1009133,1009136,1009137,1009138,1009139,1009142,1009143,1009144,1009145,1009146,1009147,1009148,1009149,1009365,1009366,1009367,1009368,1009369,1009370,1009371,1009372,1009424,1009425,1009426,1009427,1010054,1010055,1010056,1010057,1010058,1010059,1010060,1010061,1010062,1010063,1010064,1010065,1010066,1010067,1010068,1010069,1010533,1010534,1010535,1010536,1010537,1010538,1010539,1010540,1010542,1010866,1010867,1010872,1010873,1010878,1010879,1010883,1010884,1011425,1011426,1011427,1011428,1011429,1011430,1011431,1011432,1011433,1011434,1011435,1011436,1011437,1011438,1011439,1011440,1011441,1011442,1011443,1011444,1011445,1011446,1011447,1011448,1011449,1011450,1011451,1011452,1011453,1011454,1011455,1011456,1011457,1011458,1011459,1011460,1011461,1011462,1011463,1012050,1012051,1012052,1012053,1012093,1012094,1012095,1012096,1012583,1012584,1012585,1012586,1012587,1012588,1012589,1012590,1013899,1013900,1013901,1013902,1013903,1013904,1013905,1013906,1014416,1014417,1014418,1014419,1014420,1014421,1014422,1014423,1014424,1014425,1014426,1014427
高度(mm),1809,1809,1809,1809,1809,1809,1809,1809,1845,1845,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1845,1809,1809,1809,1809,1809,1809,1809,1809,1845,1845,1845,1845,1845,1845,1845,1809,1809,1809,1809,1809,1809,1809,1809,2050,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1809,1809,1845,1845,1809,1809,1845,1845,1809,1809,1845,1845,1809,1809,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,2050,2050,2050,1845,1845,1845,1845,1845,1845,1845,1845,1809,1809,1809,1809,1809,1809,1809,1809,1845,1845,1845,1845,1845,1845,1845,1845,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809
驾驶辅助影像,-,-,-,-,-,-,-,-,,,,,-,-,,,-,-,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5365,5680,5365,5680,5365,5680,5365,5680,5830,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5830,5830,5830,5680,5365,5680,5365,5680,5365,5680,5365,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5680,5680,5365,5680,5680,5365,5680,5680,5365,5680,5680,5365
长*宽*高(mm),5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1845,5680×1900×1845,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1845,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5830×1900×2050,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1809,5680×1900×1809,5365×1900×1845,5680×1900×1845,5365×1900×1809,5680×1900×1809,5365×1900×1845,5680×1900×1845,5365×1900×1809,5680×1900×1809,5365×1900×1845,5680×1900×1845,5365×1900×1809,5680×1900×1809,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5830×1900×2050,5830×1900×2050,5830×1900×2050,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5365×1900×1845,5680×1900×1845,5680×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1809,5365×1900×1809
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
