Feature,1006047,1006048,1006049,1006050,1006051,1006052,1006053,1006054,1006055,1006056,1006058,1006059,1006060,1006061,1006062,1007910,1007911,1008629,1008859,1008860,1008861,1008862,1008863,1008864,1008865,1008866,1009428
高度(mm),1980,1980,1980,1980,1980,1980,1980,1970,1970,1970,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1970,1980,1970,1980
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5350,5350,5350,5350,5350,5350,5350,4905,4905,4905,5350,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5350,4905,5350,4905,5235
长*宽*高(mm),5350×1800×1980,5350×1800×1980,5350×1800×1980,5350×1800×1980,5350×1800×1980,5350×1800×1980,5350×1800×1980,4905×1800×1970,4905×1800×1970,4905×1800×1970,5350×1800×1980,5235×1800×1980,5235×1800×1980,5235×1800×1980,5235×1800×1980,5235×1800×1980,5235×1800×1980,5235×1800×1980,5235×1800×1980,5235×1800×1980,5235×1800×1980,5235×1800×1980,5350×1800×1980,4905×1800×1970,5350×1800×1980,4905×1800×1970,5235×1800×1980
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
