Feature,46363,47696,47697,51184,51185,55324,56384,56385,56758,56760
高度(mm),1465,1465,1465,1465,1465,1493,1493,1493,1493,1493
驾驶辅助影像,,,,,,,,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
长度(mm),4722,4722,4722,4722,4722,4722,4724,4724,4722,4722
长*宽*高(mm),4722*1835*1465,4722*1835*1465,4722*1835*1465,4722*1835*1465,4722*1835*1465,4722*1835*1493,4724*1835*1493,4724*1835*1493,4722*1835*1493,4722*1835*1493
钥匙类型,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,●,-,-,-,-,-,-,-,-,-
远程启动功能,,,,,,-,-,,-,
远光灯光源,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-
近光灯光源,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,,-,-,-,-,-,-,-,-,-
轴距(mm),2715,2715,2715,2715,2715,2715,2715,2715,2715,2715
轮圈材质,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,-,-,-,-,-,-,-
车道偏离预警系统,●,-,-,-,-,-,-,-,-,-
车道保持辅助系统,●,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,-,-,,-,
车载冰箱,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,-,-,●,-,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,
