,1005747,1006822,1006823,1006824
主/副驾驶座安全气囊,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
前/后排侧气囊,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-
膝部气囊,-,-,-,-
胎压监测装置,-,-,-,-
零胎压继续行驶,-,-,-,-
安全带未系提示,-,●,●,●
ISOFIX儿童座椅接口,-,-,-,-
ABS防抱死,-,●,●,●
制动力分配(EBD/CBC等),-,●,●,●
刹车辅助(EBA/BAS/BA等),-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
并线辅助,-,-,-,-
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○
倒车视频影像,-,-,-,-
全景摄像头,-,-,-,-
定速巡航,-,-,-,-
上坡辅助,-,-,-,-
自动驻车,-,-,-,-
陡坡缓降,-,-,-,-
可变悬架,-,-,-,-
空气悬架,-,-,-,-
可变转向比,-,-,-,-
电动天窗,-,-,-,-
全景天窗,-,-,-,-
运动外观套件,-,-,-,-
铝合金轮圈,-,-,-,-
电动吸合门,-,-,-,-
侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门
电动后备厢,-,-,-,-
感应后备厢,-,-,-,-
车顶行李架,-,-,-,-
车内中控锁,●,●,●,●
遥控钥匙,●,●,●,●
无钥匙启动系统,-,-,-,-
无钥匙进入系统,-,-,-,-
皮质方向盘,-,-,-,-
方向盘调节,-,-,-,-
方向盘电动调节,-,-,-,-
多功能方向盘,-,-,-,-
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘记忆,-,-,-,-
行车电脑显示屏,-,-,-,-
座椅材质,织物,织物,织物,织物
运动风格座椅,-,-,-,-
座椅高低调节,-,-,-,-
腰部支撑调节,-,-,-,-
肩部支撑调节,-,-,-,-
主/副驾驶座电动调节,-,-,-,-
第二排靠背角度调节,-,●,-,-
第二排座椅移动,-,●,-,-
后排座椅电动调节,-,-,-,-
电动座椅记忆,-,-,-,-
前/后排座椅加热,-,-,-,-
前/后排座椅通风,-,-,-,-
前/后排座椅按摩,-,-,-,-
第三排座椅,-,3座,-,-
后排座椅放倒方式,-,整体放倒,整体放倒,整体放倒
前/后中央扶手,-,-,-,-
后排杯架,-,-,-,-
GPS导航系统,-,-,-,-
道路救援呼叫,-,-,-,-
中控台彩色大屏,-,-,-,-
蓝牙/车载电话,-,-,-,-
车载电视,-,-,-,-
后排液晶屏,-,-,-,-
220V/230V电源,-,-,-,-
外接音源接口,USB,USB,USB,USB
CD/DVD,-,-,-,-
扬声器品牌,-,-,-,-
扬声器数量,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素
