Feature,1015536,1015537,1015538
高度(mm),2035,2035,2035
驾驶辅助影像,,,
驱动方式,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-
限滑差速器/差速锁,-,-,-
长度(mm),4998,4998,4998
长*宽*高(mm),4998*2030*2035,4998*2030*2035,4998*2030*2035
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),3000,3000,3000
轮圈材质,,,
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,-,-,-
车门数(个),5,5,5
车载冰箱,-,-,-
车载CD/DVD,-,-,-
车身结构_y,客车,客车,客车
车身结构_x,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车窗防夹手功能,●,●,●
车型名称,上汽大通MAXUS新途V70 2023款 2.0T柴油手动精英版5/6座 93kW,上汽大通MAXUS新途V70 2023款 2.0T柴油手动精英版5/6座 110kW,上汽大通MAXUS新途V70 2023款 2.0T柴油自动精英版5/6座 110kW
车前雾灯,-,-,-
车内环境氛围灯,-,-,-
车内化妆镜,-,-,-
车内中控锁,●,●,●
车体结构,承载式,承载式,承载式
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,○,○,○
自动驻车,-,-,●
自动头灯,●,●,●
膝部气囊,-,-,-
能源类型,柴油,柴油,柴油
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,未知,未知,未知
缸体材料,未知,未知,未知
级别,轻客,轻客,轻客
简称,6挡手动,6挡手动,9挡手自一体
第二排座椅调节,-,-,-
第二排座椅电动调节,-,-,-
第二排座椅功能,-,-,-
空调温度控制方式,,,
空气悬架,-,-,-
电动座椅记忆功能,-,-,-
电动吸合车门,-,-,-
电动后备厢位置记忆,-,-,-
电动后备厢,-,-,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,0号,0号,0号
燃料形式,柴油,柴油,柴油
温度分区控制,-,-,-
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最大马力(Ps),126,150,150
最大扭矩转速(rpm),1600-2600,1500-2400,1500-2400
最大扭矩(N·m)_y,320,375,375
最大扭矩(N·m)_x,320,375,375
最大功率转速(rpm),3200,3500,3500
最大功率(kW)_y,93,110,110
最大功率(kW)_x,93,110,110
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,○,○,○
方向盘位置调节,,,
排量(mL),1996,1996,1996
挡位个数,6,6,9
扬声器数量,,,
扬声器品牌名称,-,-,-
感应雨刷功能,,,
感应后备厢,-,-,-
座椅材质,,,
座位数(个),5-6,5-6,5-6
并线辅助,○,○,○
巡航系统,,,
宽度(mm),2030,2030,2030
安全带未系提醒,,,
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯清洗装置,-,-,-
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
后风挡遮阳帘,-,-,-
后雨刷,-,-,-
后轮距(mm),1756,1756,1756
后轮胎规格,215/75 R16LT,215/75 R16LT,215/75 R16LT
后排独立空调,○,○,○
后排杯架,-,-,-
后排座椅放倒形式,-,-,-
后排侧隐私玻璃,●,●,●
后排侧窗遮阳帘,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,●,●,●
后制动器类型,盘式,盘式,盘式
可变转向比,-,-,-
可变悬架功能,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT)
变速箱,6挡手动,6挡手动,9挡手自一体
发动机电子防盗,-,-,-
发动机型号,SC20M125.1Q6B,SC20M150Q6,SC20M150Q6
发动机启停技术,-,-,-
发动机,2.0T 126马力 L4,2.0T 150马力 L4,2.0T 150马力 L4
厂商指导价(元),14.88万,-,-
厂商,上汽大通,上汽大通,上汽大通
卫星导航系统,○,○,○
助力类型,液压助力,液压助力,液压助力
副座椅调节方式,,,
前轮距(mm),1734,1734,1734
前轮胎规格,215/75 R16LT,215/75 R16LT,215/75 R16LT
前排座椅功能,,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内后视镜功能,,,
全液晶仪表盘,-,-,-
侧滑门形式,,,
供油方式,直喷,直喷,直喷
主座椅调节方式,,,
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
上坡辅助,●,●,●
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,●,●,●
ABS防抱死,●,●,●
220V/230V电源,-,-,-
