Feature,40719,40720,40721,40722,40723,40724,41468,42568,42569,43059,43060,49367,49368,49369,49370,51395,52548,52959,53015,53016,53017,55339,55341,55342,60935,61901,61902,61903,61904,61905,61906,61907,61915,61916,61917,61918,61919,61920,61921,61922,61923,61924,61925,61926,61927
高度(mm),1900,1900,1900,1900,1900,1935,1900,1900,1900,1900,1900,1900,1935,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
驾驶辅助影像,-,-,-,,-,,,-,-,-,-,-,,-,-,-,-,,,,,-,-,-,-,,-,,-,-,-,,-,,-,,,-,-,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4651,4651,4651,4651,4715,4715,5075,5075,5145,5075,5145,4715,4715,5145,5145,5075,5145,5145,5145,4715,4715,4651,5075,5145,5075,5075,5145,5145,5075,5145,5145,5145,5075,5075,5145,5145,5145,4651,4651,4651,4651,4715,4715,4715,4715
长*宽*高(mm),4651*1765*1900,4651*1765*1900,4651*1765*1900,4651*1765*1900,4715*1765*1900,4715*1765*1935,5075*1765*1900,5075*1765*1900,5145*1765*1900,5075*1765*1900,5145*1765*1900,4715*1765*1900,4715*1765*1935,5145*1765*1900,5145*1765*1900,5075*1765*1900,5145*1765*1900,5145*1765*1900,5145*1765*1900,4715*1765*1900,4715*1765*1900,4651*1765*1900,5075*1765*1900,5145*1765*1900,5075*1765*1900,5075*1765*1900,5145*1765*1900,5145*1765*1900,5075*1765*1900,5145*1765*1900,5145*1765*1900,5145*1765*1900,5075*1765*1900,5075*1765*1900,5145*1765*1900,5145*1765*1900,5145*1765*1900,4651*1765*1900,4651*1765*1900,4651*1765*1900,4651*1765*1900,4715*1765*1900,4715*1765*1900,4715*1765*1900,4715*1765*1900
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
