Feature,54389,54390,54391,55931,55932,55951,55953,55982,55983
高度(mm),1560,1560,1560,1570,1570,1570,1570,1560,1560
驾驶辅助影像,,,,-,,-,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,手刹,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,手刹,手刹
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-
长度(mm),3730,3730,3730,3770,3770,3770,3770,3730,3730
长*宽*高(mm),3730*1650*1560,3730*1650*1560,3730*1650*1560,3770*1650*1570,3770*1650*1570,3770*1650*1570,3770*1650*1570,3730*1650*1560,3730*1650*1560
钥匙类型,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
近光灯光源,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-
辅助驾驶芯片,-,-,-,-,-,-,-,-,-
轴距(mm),2410,2410,2410,2410,2410,2410,2410,2410,2410
轮圈材质,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,●,-,●,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-
