Feature,39112,39113,39114
高度(mm),1445,1445,1445
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,双电机,双电机
驱动方式,双电机四驱,双电机四驱,双电机四驱
零胎压继续行驶,-,-,-
陡坡缓降,-,-,-
防紫外线玻璃,●,●,●
长度(mm),4979,4979,4979
长*宽*高(mm),4979*1964*1445,4979*1964*1445,4979*1964*1445
铝合金轮圈,●,●,●
遮阳板化妆镜,●,●,●
遥控钥匙,●,●,●
道路救援呼叫,-,-,-
远程启动,●,●,●
远光灯,LED,LED,LED
近光灯,LED,LED,LED
运动风格座椅,●,●,●
运动外观套件,-,-,-
轴距(mm),2960,2960,2960
转向辅助灯,-,-,-
转向头灯,●,●,●
车顶行李架,-,-,-
车门数(个),5,5,5
车道偏离预警系统,●,●,●
车载空气净化器,-,-,-
车载电视,-,-,-
车载冰箱,-,-,-
车身结构_y,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降,全车,全车,全车
车型名称,Model S 2019款 标准续航版,Model S 2019款 长续航版,Model S 2019款 Performance 高性能版
车内空气调节/花粉过滤,●,●,●
车内氛围灯,●,●,●
车内中控锁,●,●,●
车体结构,承载式,承载式,承载式
行车电脑显示屏,●,●,●
行李厢容积(L),744.7-1645.2,744.7-1645.2,744.7-1645.2
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自适应巡航,●,●,●
自动驻车,●,●,●
自动泊车入位,○,○,○
自动头灯,●,●,●
膝部气囊,-,-,-
腰部支撑调节,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测装置,●,●,●
肩部支撑调节,-,-,-
级别,中大型车,中大型车,中大型车
系统综合扭矩(N·m),-,-,-
系统综合功率(kW),-,-,-
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排靠背角度调节,-,-,-
第二排独立座椅,-,-,-
第二排座椅移动,-,-,-
第三排座椅,-,-,-
空调控制方式,自动●,自动●,自动●
空气悬架,●,●,●
皮质方向盘,●,●,●
百公里耗电量(kWh/100km),-,-,-
疲劳驾驶提示,-,-,-
电磁感应悬架,-,-,-
电池能量(kWh),75,100,100
电池组质保,八年不限公里,八年不限公里,八年不限公里
电池类型,三元锂电池,三元锂电池,三元锂电池
电机类型,前永磁 / 同步 后交流 / 异步,前永磁 / 同步 后交流 / 异步,前永磁 / 同步 后交流 / 异步
电机布局,前置+后置,前置+后置,前置+后置
电动机总扭矩(N·m),844,844,-
电动机总功率(kW),487,487,577
电动座椅记忆,●,●,●
电动天窗,-,-,-
电动吸合门,-,-,-
电动后备厢,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●
温度分区控制,●,●,●
油箱容积(L),-,-,-
最高车速(km/h),250,250,250
最小离地间隙(mm),-,-,-
最大扭矩(N·m),844,844,-
最大功率(kW),487,487,577
无钥匙进入系统,●,●,●
无钥匙启动系统,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,●,●,●
