Feature,43049,43265,43266,43267,43268,43269,43270,43271,52624,57606,57607,57608,60083,60244
高度(mm),1471,1471,1471,1471,1471,1471,1471,1471,1471,1479,1479,1479,1479,1479
驾驶辅助影像,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4865,4865,4865,4865,4865,4865,4865,4865,4865,4866,4866,4866,4866,4866
长*宽*高(mm),4865*1832*1471,4865*1832*1471,4865*1832*1471,4865*1832*1471,4865*1832*1471,4865*1832*1471,4865*1832*1471,4865*1832*1471,4865*1832*1471,4866*1832*1479,4866*1832*1479,4866*1832*1479,4866*1832*1479,4866*1832*1479
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,●,-,-,-,-,●,●,●,-,-,●,●,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,,-,-,-,-,-,,,-,-,,,,
辅助驾驶等级,,-,-,-,-,-,,,-,-,,,,
轴距(mm),2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871
轮圈材质,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,●,-,-,-,○,●,○,●,○,-,○,●,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,-,-,-,●,●,-,-,●,●,○,○
车道偏离预警系统,●,-,-,-,-,-,●,●,-,-,●,●,○,○
车道保持辅助系统,●,-,-,-,-,-,●,●,-,-,●,●,○,○
车载空气净化器,●,-,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
