Feature,1018714,1018715,1018716
高度(mm),2035,2530,2560
驾驶辅助影像,,,
驾驶模式切换,-,-,-
驻车制动类型,,,
驱动电机数,单电机,单电机,单电机
驱动方式,,,
风阻系数(Cd),-,-,-
陡坡缓降,-,-,-
长度(mm),5360,5360,5360
长*宽*高(mm),5360*1750*2035,5360*1750*2530,5360*1750*2560
钥匙类型,,,
远光灯光源,,,
近光灯光源,,,
轴距(mm),3360,3360,3360
轮圈材质,,,
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车身结构_y,货车,货车,货车
车身结构_x,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-
车联网,-,-,-
车窗防夹手功能,-,-,-
车窗一键升降功能,-,-,-
车型名称,小象X5 2024款 载货车,小象X5 2024款 仓栅式运输车,小象X5 2024款 厢式运输车
车前雾灯,-,-,-
车内环境氛围灯,-,-,-
车内化妆镜,-,-,-
车内中控锁,●,●,●
车内PM2.5过滤装置,-,-,-
车体结构,承载式,承载式,承载式
货箱尺寸(mm),3200x1650x380,3200x1650x380,3200x1670x380
语音识别控制系统,-,-,-
行车电脑显示屏幕,-,-,-
蓝牙/车载电话,-,-,-
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,-,-,-
能源类型,纯电动,纯电动,纯电动
胎压监测功能,-,-,-
级别,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空调温度控制方式,,,
疲劳驾驶提示,-,-,-
电池能量(kWh),41.86,41.86,41.86
电池类型,,,
电池冷却方式,液冷,液冷,液冷
电机布局,后置,后置,后置
电动机总马力(Ps),109,109,109
电动机总扭矩(N·m),230,230,230
电动机总功率(kW),80,80,80
电动机(Ps),109,109,109
电动座椅记忆功能,-,-,-
电动后备厢,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-
温度分区控制,-,-,-
液晶仪表尺寸,-,-,-
最高车速(km/h),80,80,80
最大载重质量(kg),1540,1305,1250
最大满载质量(kg),-,-,-
最大扭矩(N·m),230,230,230
最大功率(kW),80,80,80
无钥匙进入功能,-,-,-
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,-,-,-
整备质量(kg),1405,1640,1695
挡位个数,1,1,1
扬声器数量,-,-,-
扬声器品牌名称,-,-,-
手机无线充电功能,-,-,-
手机互联/映射,-,-,-
感应雨刷功能,-,-,-
快充功能,支持,支持,支持
座椅材质,,,
座位数(个),,,
并线辅助,-,-,-
巡航系统,-,-,-
导航路况信息显示,-,-,-
宽度(mm),1750,1750,1750
官方0-100km/h加速(s),-,-,-
安全带未系提醒,-,-,-
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯延时关闭,-,-,-
多媒体/充电接口,-,-,-
多功能方向盘,-,-,-
外后视镜功能,-,-,-
备胎规格,-,-,-
后雨刷,-,-,-
后轮距(mm),-,-,-
后轮胎规格,,,
后电动机最大扭矩(N·m),230,230,230
后电动机最大功率(kW),80,80,80
后电动机型号,TZ180XS080,TZ180XS080,TZ180XS080
后电动机品牌,苏州汇川,苏州汇川,苏州汇川
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,-,-,-
后悬架类型,,,
后座出风口,-,-,-
后备厢容积(L),-,-,-
后制动器类型,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),15.28万,15.78万,15.98万
厂商,开瑞汽车,开瑞汽车,开瑞汽车
卫星导航系统,-,-,-
助力类型,,,
副座椅调节方式,-,-,-
前轮距(mm),-,-,-
前轮胎规格,,,
前排座椅功能,-,-,-
前悬架类型,,,
前制动器类型,,,
前/后驻车雷达,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,-,-
前/后中央扶手,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-
制动力分配(EBD/CBC等),-,-,-
内后视镜功能,-,-,-
全液晶仪表盘,-,-,-
主座椅调节方式,-,-,-
主动刹车/主动安全系统,-,-,-
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,-,-,-
中控彩色屏幕,-,-,-
中控屏幕尺寸,-,-,-
上市时间,2024.05,2024.05,2024.05
上坡辅助,-,-,-
USB/Type-C接口数量,-,-,-
OTA升级,-,-,-
LED日间行车灯,-,-,-
ISOFIX儿童座椅接口,-,-,-
CLTC纯电续航里程(km)_y,252,240,230
CLTC纯电续航里程(km)_x,252,240,230
ABS防抱死,●,●,●
