Feature,1014466,1014467,1015944
高度(mm),1920,1920,1920
驾驶辅助影像,,,-
驾驶模式切换,-,-,-
驱动电机数,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-
长度(mm),4400,4400,4400
长*宽*高(mm),4400×1650×1920,4400×1650×1920,4400×1650×1920
钥匙类型,,,
远光灯光源,,,
近光灯光源,,,
轴距(mm),2850,2850,2850
轮圈材质,,,
车门数(个),5,5,5
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车身结构_y,货车,货车,货车
车身结构_x,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-
车联网,-,-,-
车窗防夹手功能,-,-,-
车窗一键升降功能,-,-,-
车型名称,骆驼 2023款 E300舒适型宁德时代,骆驼 2023款 E300基本型宁德时代,骆驼 2023款 E300行业专用版宁德时代
车前雾灯,,,
车内环境氛围灯,-,-,-
车内化妆镜,-,-,-
车内中控锁,-,-,-
车内PM2.5过滤装置,-,-,-
车体结构,承载式,承载式,承载式
货箱尺寸(mm),-,-,-
语音识别控制系统,-,-,-
行车电脑显示屏幕,-,-,-
蓝牙/车载电话,●,●,-
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,-,-,-
能源类型,纯电动,纯电动,纯电动
胎压监测功能,-,-,-
缺气保用轮胎,-,-,-
级别,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空调温度控制方式,,,
百公里耗电量(kWh/100km),-,-,-
疲劳驾驶提示,-,-,-
电池组质保,待查,待查,待查
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),41.86,41.86,41.86
电池充电时间,-,-,-
电机类型,永磁 / 同步,永磁 / 同步,永磁/同步
电机布局,后置,后置,后置
电动机总扭矩(N·m),200,200,200
电动机总功率(kW),60,60,60
电动机(Ps),82,82,82
电动座椅记忆功能,-,-,-
电动后备厢,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-
温度分区控制,-,-,-
液晶仪表尺寸,-,-,-
最高车速(km/h),90,90,90
最小离地间隙(mm),160,160,160
最大载重质量(kg),995,995,995
最大满载质量(kg),2505,2505,-
最大扭矩(N·m),200,200,200
最大功率(kW),60,60,60
无钥匙进入功能,-,-,-
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,-,-,-
整车质保,-,-,-
整备质量(kg)_y,1380,1380,-
整备质量(kg)_x,-,-,1380
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,-,-,-
手机互联/映射,-,-,-
慢充时间(小时)_y,12,12,-
慢充时间(小时)_x,12,12,12
感应雨刷功能,-,-,-
快充电量百分比,90,90,-
快充电量(%),90,90,90
快充时间(小时)_y,1,1,-
快充时间(小时)_x,1,1,1
座椅材质,,,
座位数(个),2,2,2
并线辅助,-,-,-
工信部续航里程(km),300,300,300
工信部纯电续航里程(km),300,300,300
巡航系统,-,-,-
导航路况信息显示,-,-,-
宽度(mm),1650,1650,1650
安全带未系提醒,-,-,-
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯延时关闭,-,-,-
多媒体/充电接口,,,-
多功能方向盘,●,○,-
外后视镜功能,-,-,-
后雨刷,-,-,-
后轮距(mm),1435,1435,1435
后轮胎规格,175 R14LT,175 R14LT,175 R14LT
后电动机最大扭矩(N·m),200,200,200
后电动机最大功率(kW),60,60,60
后排车门开启方式,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,-,-,-
后悬架类型,未知,未知,未知
后座出风口,-,-,-
后制动器类型,鼓式,鼓式,鼓式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),13.48万,12.98万,15.98万
厂商,成功汽车,成功汽车,成功汽车
卫星导航系统,-,-,-
助力类型,电动助力,电动助力,电动助力
副座椅调节方式,,,
前轮距(mm),1390,1390,1390
前轮胎规格,175 R14LT,175 R14LT,175 R14LT
前电动机最大扭矩(N·m),-,-,-
前电动机最大功率(kW),-,-,-
前排座椅功能,-,-,-
前悬架类型,未知,未知,未知
前制动器类型,盘式,盘式,盘式
前/后驻车雷达,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,-,-
前/后中央扶手,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-
制动力分配(EBD/CBC等),●,●,●
准拖挂车总质量(kg),-,-,-
内后视镜功能,-,-,-
全液晶仪表盘,-,-,-
侧滑门形式,,,
主座椅调节方式,,,
主动刹车/主动安全系统,-,-,-
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,-,-,-
中控彩色屏幕,,,-
中控屏幕尺寸,-,-,-
上市时间,2022.10,2022.10,2023.04
上坡辅助,-,-,-
USB/Type-C接口数量,-,-,-
OTA升级,-,-,-
LED日间行车灯,○,○,●
ISOFIX儿童座椅接口,-,-,-
ABS防抱死,●,●,●
