Feature,68264
高度(mm),1696
驾驶辅助影像,
驾驶模式切换,
驻车制动类型,
驱动电机数,单电机
驱动方式,
风阻系数(Cd),-
陡坡缓降,●
长度(mm),4826
长*宽*高(mm),4826*1938*1696
钥匙类型,
配气机构,DOHC
道路救援呼叫,●
道路交通标识识别,○
透明底盘/540度影像,●
远程启动功能,
远光灯光源,
进气形式,涡轮增压
近光灯光源,
运动风格座椅,●
辅助驾驶等级,
轴距(mm),2977
轮圈材质,
转向头灯,○
车顶行李架,●
车门数(个),
车门开启方式,平开门
车道居中保持,○
车道偏离预警系统,●
车道保持辅助系统,●
车载空气净化器,●
车载智能系统,
车身结构_y,SUV
车身结构_x,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●
车联网,●
车窗防夹手功能,●
车窗一键升降功能,
车机智能芯片,
车型名称,奔驰GLC新能源 2025款 350 e L 4MATIC 典藏版
车前雾灯,-
车内香氛装置,○
车内环境氛围灯,
车内化妆镜,
车内中控锁,●
车内PM2.5过滤装置,●
车侧脚踏板,
车体结构,承载式
超声波雷达数量,
语音连续识别,●
语音识别控制系统,
语音助手唤醒词,
语音分区域唤醒识别,
语音免唤醒词,●
被动行人保护,●
行车电脑显示屏幕,
行李厢12V电源接口,●
蓝牙/车载电话,●
自适应远近光,●
自动驻车,●
自动泊车入位,●
自动头灯,●
自动变道辅助,○
膝部气囊,
能量回收系统,●
能源类型_y,插电式混合动力
能源类型_x,插电式混合动力
胎压监测功能,
缸盖材料,铝合金
缸体材料,铝合金
级别,中型SUV
系统综合扭矩(N·m),600
系统综合功率(kW),250
系统综合功率(Ps),340
简称,9挡手自一体
第二排座椅调节,-
空调温度控制方式,
空气悬架,●
离去角(°),22
百公里耗电量(kWh/100km),21.6
疲劳驾驶提示,●
电芯品牌,
电池预加热,●
电池能量(kWh),30.9
电池类型,
电池慢充电量范围(%)_y,0-100
电池慢充电量范围(%)_x,0-100
电池慢充时间(小时)_y,4.5
电池慢充时间(小时)_x,4.5
电池快充电量范围(%)_y,10-80
电池快充电量范围(%)_x,10-80
电池快充时间(小时)_y,0.5
电池快充时间(小时)_x,0.5
电池冷却方式,液冷
电机类型,永磁/同步
电机布局,前置
电动机总马力(Ps),156
电动机总扭矩(N·m),440
电动机总功率(kW),115
电动机(Ps),156
电动座椅记忆功能,
电动后备厢位置记忆,●
电动后备厢,●
环保标准_y,国VI
环保标准_x,国VI
牵引力控制(ASR/TCS/TRC等),●
燃油标号,95号
灯光特色功能,
温度分区控制,●
液晶仪表尺寸,
油电综合燃料消耗量(L/100km),3.78
气缸数(个),4
气缸排列形式,L
毫米波雷达数量,
每缸气门数(个),4
最高车速(km/h),204
最大马力(Ps),204
最大满载质量(kg),2930
最大扭矩转速(rpm),2000-4000
最大扭矩(N·m)_y,320
最大扭矩(N·m)_x,600
最大功率转速(rpm),6100
最大功率(kW)_y,150
最大功率(kW)_x,250
最大净功率(kW),150
最低荷电状态油耗(L/100km)WLTC,7.4
无钥匙进入功能,
无钥匙启动系统,●
方向盘记忆,●
方向盘材质,
方向盘换挡,●
方向盘加热,-
方向盘位置调节,
整车质保,
整备质量(kg),2420
摄像头数量,
接近角(°),23
排量(mL),1999
换挡形式,
挡位个数,9
扬声器数量,
扬声器品牌名称,
手机无线充电功能,
手机互联/映射,
手机APP远程功能,
慢充接口位置,车右后侧
感应雨刷功能,
感应后备厢,●
快充接口位置,车左后侧
快充功能,选装
快充功率(kW),60
座椅材质,
座位数(个),
应用商店,●
并线辅助,●
巡航系统,
导航路况信息显示,●
宽度(mm),1938
官方0-100km/h加速(s),6.9
安全带未系提醒,
天窗类型,
大灯高度可调,●
大灯延时关闭,●
多媒体/充电接口,
多功能方向盘,●
外观套件,
外后视镜功能,
备胎规格,-
地图品牌,
四驱形式,
后雨刷,●
后轮距(mm),1625
后轮胎规格,
后排独立空调,●
后排杯架,●
后排座椅放倒形式,
后悬架类型,
后座出风口,●
后备厢容积(L),385
后制动器类型,
可见即可说,●
可变转向比,●
可变悬架功能,
变速箱类型,手自一体变速箱(AT)
变速箱,9挡手自一体
发动机电子防盗,●
发动机布局,纵置
发动机型号,254 920
发动机,2.0T 204马力 L4
厂商指导价(元),51.80万
厂商,北京奔驰
卫星导航系统,●
助力类型,
副驾驶位后排可调节按钮,●
副座椅调节方式,
前轮距(mm),1624
前轮胎规格,
前电动机最大扭矩(N·m),440
前电动机最大功率(kW),115
前电动机型号,EM0017
前方碰撞预警,●
前方感知摄像头,
前排座椅功能,
前排中间气囊,●
前悬架类型,
前制动器类型,
前/后驻车雷达,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●
制动力分配(EBD/CBC等),●
内置行车记录仪,●
内后视镜功能,
全液晶仪表盘,●
侧窗多层隔音玻璃,
供油方式,直喷
低速行车警告,●
主座椅调节方式,
主动闭合式进气格栅,●
主动式环境氛围灯,●
主动刹车/主动安全系统,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控彩色屏幕,
中控屏幕尺寸,
中央差速器结构,
上市时间,2024.12
上坡辅助,●
三电系统质保,
WLTC综合油耗(L/100km),1.27
WLTC纯电续航里程(km)_y,115
WLTC纯电续航里程(km)_x,115
USB/Type-C接口数量,
OTA升级,●
LED日间行车灯,●
ISOFIX儿童座椅接口,●
HUD抬头数字显示,○
ETC装置,○
ABS防抱死,●
4G/5G网络,
