Feature,1009560,1010262,1010264,1010266,1010339,1010341,1010342,1010344,1010345,1010346,1010347,1010348,1010349,1010350,1010351,1010352,1010353,1010354,1010355,1010356,1010357,1010358,1010359,1010360,1010361,1010362,1010363,1010364,1010365,1010366,1010367,1010368,1010369,1010371,1010373,1010375,1010377,1010379,1011097,1011098,1011099,1011100,1011101,1011102,1011103,1011104,1013133,1013134,1013135,1013136,1013137,1013138,1013139,1013140,1013141,1013142,1013143,1013144,1013145,1013146,1013147,1013148,1013150,1013151,1013797,1013798,1014931,1014932,1014933,1014934,1014935,1014936,1014937,1014938,1014939,1014940,1014941,1014942,1014943,1014944,1014945,1014946,1014947,1014948,1014949,1014950,1014951,1014952,1014953,1014954,1014955,1014956,1014957,1014958,1014959,1014960,1014961,1014962,1014963,1014964,1014965,1014966,1014967,1014968,1014969,1014970,1014971,1014972,1014973,1014974,1014975,1014976,1014977,1014978
高度(mm),1920,1885,1885,1920,1885,1885,1920,1920,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1885,1885,1920,1920,1920,1920,1885,1885,1885,1885,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1885,1885,1885,1885,1885,1885,1885,1885,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱
陡坡缓降,●,-,-,●,-,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-
限滑差速器/差速锁,,-,-,,-,-,,,,,,,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,,-,,-,,-,,,-,-,,-,,-,,,-,-,,,-,-,,,-,-,,,-,-,,-,,,-,-,,,-,-,,,-,-,,,-,-,,,-,,-,-,,,-,,-,-,,,-,-,,,-,-,,,-,-,,,-,,-,,-,,-,
长度(mm),5340,5340,5340,5340,5630,5630,5630,5630,5340,5340,5630,5630,5340,5340,5630,5630,5340,5340,5630,5630,5340,5340,5630,5630,5340,5340,5630,5630,5340,5340,5630,5630,5340,5340,5340,5340,5340,5340,5340,5630,5340,5630,5340,5340,5340,5340,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5340,5340,5340,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5340,5340,5630,5340,5630,5340,5340,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5340,5340,5340,5340,5340,5340,5340
长*宽*高(mm),5340×1980×1920,5340×1960×1885,5340×1960×1885,5340×1980×1920,5630×1960×1885,5630×1960×1885,5630×1980×1920,5630×1980×1920,5340×1960×1885,5340×1960×1885,5630×1960×1885,5630×1960×1885,5340×1960×1885,5340×1960×1885,5630×1960×1885,5630×1960×1885,5340×1960×1885,5340×1960×1885,5630×1960×1885,5630×1960×1885,5340×1980×1920,5340×1980×1920,5630×1980×1920,5630×1980×1920,5340×1980×1920,5340×1980×1920,5630×1980×1920,5630×1980×1920,5340×1980×1920,5340×1980×1920,5630×1980×1920,5630×1980×1920,5340×1960×1885,5340×1960×1885,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340×1960×1885,5630×1960×1885,5340×1960×1885,5630×1960×1885,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340×1980×1920,5630×1980×1920,5340×1980×1920,5630×1980×1920,5340×1980×1920,5630×1980×1920,5340×1980×1920,5630×1980×1920,5340×1960×1885,5630×1960×1885,5340×1960×1885,5630×1960×1885,5340×1960×1885,5630×1960×1885,5340×1960×1885,5630×1960×1885,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340*1960*1920,5630*1960*1920,5340*1960*1920,5630*1960*1920,5340*1960*1920,5630*1960*1920,5340*1960*1920,5630*1960*1920,5340*1960*1920,5630*1960*1920,5340*1960*1920,5630*1960*1920,5340*1960*1920,5630*1960*1920,5340*1960*1920,5630*1960*1920,5340*1960*1920,5340*1960*1920,5340*1960*1920,5630*1960*1920,5340*1960*1920,5630*1960*1920,5340*1960*1920,5340*1960*1920,5340*1980*1920,5630*1980*1920,5340*1980*1920,5630*1980*1920,5340*1980*1920,5630*1980*1920,5340*1980*1920,5630*1980*1920,5340*1980*1920,5630*1980*1920,5340*1980*1920,5630*1980*1920,5340*1980*1920,5630*1980*1920,5340*1980*1920,5630*1980*1920,5340*1980*1920,5340*1980*1920,5340*1980*1920,5340*1980*1920,5340*1980*1920,5340*1980*1920,5340*1980*1920,5340*1980*1920
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
