Feature,40719,40720,40721,40722,40723,40724,41468,42568,42569,43059,43060,49367,49368,49369,49370,51395,52548,52959,53015,53016,53017,55339,55341,55342,60935,61901,61902,61903,61904,61905,61906,61907,61915,61916,61917,61918,61919,61920,61921,61922,61923,61924,61925,61926,61927,64695,64696,64697,64698,65711,66112,66113
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2810,2810,2810,2810,2810,2810,3110,3110,3110,3110,3110,2810,2810,3110,3110,3110,3110,3110,3110,2810,2810,2810,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,2810,2810,2810,2810,2810,2810,2810,2810,3110,3110,3110,3110,3110,3110,3110
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,○,○,○,-,○,○,○,-,○,○,○,○,-,-,○,○,○,○,○,○,○,○,●,●,○,-,○
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门5座MPV,4门2座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门2座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门5座MPV,4门9座MPV,4门9座MPV,4门9座MPV,4门5/7座MPV,4门7/8座MPV,4门9座MPV,4门9座MPV,4门2座MPV,4门7/8座MPV,4门7/8座MPV,4门7/8座MPV,4门7/8座MPV,4门2座MPV,4门7座MPV,4门7/8座MPV,4门7/8座MPV,4门7/8座MPV,4门7/8座MPV,4门7/8座MPV,4门7/8座MPV,4门7/8座MPV,4门9座MPV,4门7/8座MPV,4门9座MPV,4门7/9座MPV,4门7/9座MPV,4门7/9座MPV
车身稳定控制(ESC/ESP/DSC等),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,○,○,○,-,○,○,○,-,○,○,○,○,-,-,○,○,○,○,○,○,●,●,●,●,●,-,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,●,●,○,○,○,○,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
车型名称,瑞风M3 2019款 1.8L 5座速运版,瑞风M3 2019款 1.8L 2座穿梭版,瑞风M3 2019款 创客版 1.8L 豪华型,瑞风M3 2019款 创客版 1.8L 豪华智能型,瑞风M3 2019款 宜家版 1.8L 豪华型,瑞风M3 2019款 宜家版 1.8L 豪华智能型,瑞风M3 2019款 PLUS 创客版 1.8L 豪华智能型,瑞风M3 2019款 PLUS 创客版 1.8L 豪华型,瑞风M3 2019款 PLUS 宜家版 1.8L 豪华型,瑞风M3 2019款 PLUS 创客版 1.8L 豪华智能型 9座,瑞风M3 2019款 PLUS 宜家版 1.8L 豪华型 9座,瑞风M3 2021款 宜家高功率版 1.5T 豪华型,瑞风M3 2021款 宜家高功率版 1.5T 豪华智能型,瑞风M3 2021款 PLUS 宜家高功率版 1.5T 豪华型,瑞风M3 2021款 PLUS 宜家高功率版 1.5T 豪华型 9座,瑞风M3 2021款 PLUS 1.8L 2座穿梭版,瑞风M3 2022款 PLUS 宜家高功率版 1.5T 舒适型,瑞风M3 2022款 PLUS 1.5T 7座标准型,瑞风M3 2022款 PLUS 1.8L 7座标准型,瑞风M3 2022款 1.5T 7座标准版,瑞风M3 2022款 1.8L 7座标准版,瑞风M3 2022款 创客版 1.5T 豪华型,瑞风M3 2022款 PLUS 创客版 1.5T 豪华型,瑞风M3 2022款 PLUS 宜家版 1.8L 舒适型,瑞风M3 2022款 PLUS 通达版 1.5T 标准型,瑞风M3 2023款 PLUS 1.8L 9座精英版,瑞风M3 2023款 PLUS 1.8L 9座舒适版,瑞风M3 2023款 PLUS 1.8L 9座智联版,瑞风M3 2023款 PLUS 1.5T 5/7座经典版,瑞风M3 2023款 PLUS 1.5T 7/8座舒适版,瑞风M3 2023款 PLUS 1.5T 9座舒适版,瑞风M3 2023款 PLUS 1.5T 9座智联版,瑞风M3 2023款 PLUS 1.8L 2座穿梭版,瑞风M3 2023款 PLUS 1.8L 7/8座精英版,瑞风M3 2023款 PLUS 1.8L 7/8座舒适版,瑞风M3 2023款 PLUS 1.8L 7/8座智联版,瑞风M3 2023款 PLUS 1.5T 7/8座智联版,瑞风M3 2023款 1.8L 2座穿梭版,瑞风M3 2023款 1.8L 5座经典版,瑞风M3 2023款 1.8L 7/8座精英版,瑞风M3 2023款 1.5T 7/8座精英版,瑞风M3 2023款 1.8L 7/8座舒适版,瑞风M3 2023款 1.5T 7/8座舒适版,瑞风M3 2023款 1.8L 7/8座智联版,瑞风M3 2023款 1.5T 7/8座智联版,瑞风M3 2023款 PLUS 1.8L 7/8座舒适版CNG,瑞风M3 2023款 PLUS 1.8L 9座舒适版CNG,瑞风M3 2023款 PLUS 1.8L 7/8座客运版CNG,瑞风M3 2023款 PLUS 1.8L 9座客运版CNG,瑞风M3 2024款 PLUS 2.0L HEV 智联版,瑞风M3 2024款 PLUS 2.0L HEV 精英版,瑞风M3 2024款 PLUS 2.0L HEV 舒适版
车前雾灯,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,,,,,-,,-,,,,,,-,-,,,,,-,-,-,-,-,-,,-,-,-,,-,-,-,,,-,-,-,-,-,-,,,,,,,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,-,-,-,-,-,-,-,-,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,,-,,,,,-,,-,,,,,,,-,,,,,-,-,-,-,,,,-,,,,,,,,,,-,,,,,,,,,,,-,-,-
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,,-,-,-,,-,-,-,,,-,-,-,-,-,-,,,,,,,,,
语音分区域唤醒识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,-,-,○,-,●,○,-,-,-,-,-,●,-,-,-,-,●,●,●,●,-,-,-,-,○,-,●,-,-,-,●,-,○,-,●,●,-,-,○,○,○,○,●,●,○,○,○,○,●,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,●,●,●,●,-,-,-,-,-,●,●,-,●,●,●,-,-,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,油电混合,油电混合,油电混合
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,油电混合,油电混合,油电混合
胎压监测功能,,-,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,-,-,-,-,-,-,-,-,未知,未知,未知,未知,铝合金,铝合金,铝合金
级别,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,1挡DHT,1挡DHT,1挡DHT
第二排独立座椅,-,-,-,-,-,●,-,-,●,-,-,-,●,●,-,-,-,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,-,-,●,-,-,-,-
第二排座椅调节,-,-,-,-,-,,-,-,,,,-,,,,-,-,,,,,-,-,-,-,,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,
第三排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,
空载最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,130,130,130,130,130,130,130,130,130,130,130,-,-,-,-,-,-,-,-,130,130,130,130,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),20,20,20,20,20,20,16,16,16,16,16,20,20,16,16,16,16,16,16,20,20,20,16,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.83,1.83,1.83
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,后置,后置,后置
电动机总马力(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177,177,177
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,320,320,320
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,130,130
电动机(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177,177,177
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,○,○,○,-,○,○,○,-,○,○,○,○,-,-,○,○,○,○,○,○,●,●,●,●,-,-,-
满载最小离地间隙(mm),130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
油箱容积(L),55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,15,15,15,15,55,55,55
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,140,140,140,140,130,130,130
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,130,130,130,130,130,130,130,-,-,-,-,130,130,130
最大马力(Ps),133,133,133,133,133,133,133,133,133,133,133,150,150,150,150,133,150,150,133,150,133,150,150,133,150,133,133,133,150,150,150,150,133,133,133,133,150,133,133,133,150,133,150,133,150,116,116,116,116,136,136,136
最大满载质量(kg),2510,2265,2265,2265,2265,2265,2378,2378,2378,2378,2378,2265,2265,2378,2378,2378,2378,2378,2378,2265,2265,2265,2378,2378,2510,2378,2378,2378,2510,2378,2378,2378,2378,2378,2378,2378,2378,2265,2510,2265,2265,2265,2265,2265,2265,2515,2515,2515,2515,2515,2515,2515
最大扭矩转速(rpm),3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,1500-5500,1500-5500,1500-5500,1500-5500,3600-4400,1500-5500,1500-5500,3600-4400,1500-5500,3600-4400,1500-5500,1500-5500,3600-4400,1500-5500,3600-4400,3600-4400,3600-4400,1500-5500,1500-5500,1500-5500,1500-5500,3600-4400,3600-4400,3600-4400,3600-4400,1500-5500,3600-4400,3600-4400,3600-4400,1500-5500,3600-4400,1500-5500,3600-4400,1500-5500,3600-4400,3600-4400,3600-4400,3600-4400,-,-,-
最大扭矩(N·m)_y,182,182,182,182,182,182,182,182,182,182,182,210,210,210,210,182,210,210,182,210,182,210,210,182,210,182,182,182,210,210,210,210,182,182,182,182,210,182,182,182,210,182,210,182,210,160,160,160,160,175,175,175
最大扭矩(N·m)_x,182,182,182,182,182,182,182,182,182,182,182,210,210,210,210,182,210,210,182,210,182,210,210,182,210,182,182,182,210,210,210,210,182,182,182,182,210,182,182,182,210,182,210,182,210,160,160,160,160,-,-,-
