Feature,64577,64741,66513,66514,67839,68036
高度(mm),1464,1464,1459,1467,1467,1464
高压快充,支持,支持,支持,支持,支持,支持
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机
驱动方式,,,,,,
风阻系数(Cd),0.21,0.21,0.21,0.21,0.21,0.21
隐藏电动门把手,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-
防侧翻系统,●,●,●,●,●,●
长度(mm),5139,5139,5139,5139,5139,5139
长*宽*高(mm),5139*2005*1464,5139*2005*1464,5139*2005*1459,5139*2005*1467,5139*2005*1467,5139*2005*1464
钥匙类型,,,,,,
遥控泊车,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
运动风格座椅,●,●,●,●,●,●
辅助驾驶芯片,,,,,,
辅助驾驶等级,,,,,,
轴距(mm),3069,3069,3069,3069,3069,3069
轮圈材质,,,,,,
转向头灯,●,●,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●
车载智能系统,,,,,,
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门4座掀背车,5门4座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车机智能芯片,,,,,,
车型名称,路特斯EMEYA繁花 2024款 EMEYA R+,路特斯EMEYA繁花 2024款 EMEYA S+,路特斯EMEYA繁花 2024款 EMEYA L+,路特斯EMEYA繁花 2024款 EMEYA R+ 黑金版,路特斯EMEYA繁花 2024款 繁花绽放高级定制限量版,路特斯EMEYA繁花 2024款 TYPE79 高级定制
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
负离子发生器,●,●,●,●,●,●
语音连续识别,●,●,●,●,●,●
语音识别控制系统,,,,,,
语音助手唤醒词,,,,,,
语音免唤醒词,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
芯片总算力,,,,,,
自适应远近光,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●
自动开合车门,○,○,-,○,○,○
自动头灯,●,●,●,●,●,●
自动变道辅助,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
级别,大型车,大型车,大型车,大型车,大型车,大型车
简称,2挡自动,电动车单速变速箱,电动车单速变速箱,2挡自动,2挡自动,2挡自动
第二排独立座椅,○,○,-,●,●,○
第二排座椅调节,,,,,,
第二排座椅电动调节,●,●,●,●,●,●
第二排座椅功能,,,,,,
空调温度控制方式,,,,,,
空气质量监测,●,●,●,●,●,●
空气悬架,●,●,●,●,●,●
离去角(°),15,15,15,15,15,15
疲劳驾驶提示,●,●,●,●,●,●
电芯品牌,,,,,,
电池预加热,●,●,●,●,●,●
电池能量(kWh),102,102,102,102,102,102
电池类型,,,,,,
电池慢充电量范围(%)_y,0-100,0-100,0-100,0-100,0-100,0-100
电池慢充电量范围(%)_x,0-100,0-100,0-100,0-100,0-100,0-100
电池慢充时间(小时)_y,5.5,5.5,5.5,5.5,5.5,5.5
电池慢充时间(小时)_x,5.5,5.5,5.5,5.5,5.5,5.5
电池快充电量范围(%)_y,10-80,10-80,10-80,10-80,10-80,10-80
电池快充电量范围(%)_x,10-80,10-80,10-80,10-80,10-80,10-80
电池快充时间(小时)_y,0.25,0.25,0.25,0.25,0.25,0.25
电池快充时间(小时)_x,0.25,0.25,0.25,0.25,0.25,0.25
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电子外后视镜功能,,,-,,,
电动机总马力(Ps),918,612,612,918,918,918
电动机总扭矩(N·m),985,710,710,985,985,985
