Feature,66235,66258,66481,66482,66483
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●
内置行车记录仪,●,●,-,-,●
内后视镜功能,,,,,
全液晶仪表盘,●,●,-,●,●
供油方式,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,
主动闭合式进气格栅,●,-,-,-,-
主动刹车/主动安全系统,●,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,
中控屏幕尺寸,,,,,
上市时间,2024.01,2024.01,2024.01,2024.01,2024.01
上坡辅助,●,●,●,●,●
WLTC综合油耗(L/100km),6.45,6.45,6.45,6.45,6.45
USB/Type-C接口数量,,,,,
OTA升级,●,●,-,●,●
LED日间行车灯,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●
ABS防抱死,●,●,●,●,●
4G/5G网络,,,-,,
