Feature,61583,67798
高精地图,●,-
高度(mm),1645,1645
驾驶辅助影像,,-
驾驶模式切换,,-
驻车制动类型,,
驱动电机数,双电机,单电机
驱动方式,,
风阻系数(Cd),-,-
面部识别,●,-
隐藏电动门把手,●,-
陡坡缓降,●,-
长度(mm),4905,4905
长*宽*高(mm),4905*1950*1645,4905*1950*1645
钥匙类型,,-
配气机构,DOHC,DOHC
遥控泊车,○,-
道路交通标识识别,●,-
透明底盘/540度影像,●,-
远程启动功能,,-
远光灯光源,,-
进气形式,涡轮增压,涡轮增压
近光灯光源,,-
辅助驾驶等级,,-
轴距(mm),2960,2960
轮圈材质,,-
车顶行李架,●,-
车门数(个),,
车门开启方式,平开门,平开门
车道偏离预警系统,●,-
车道保持辅助系统,●,-
车载空气净化器,●,-
车载KTV,●,-
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,-
车联网,●,-
车窗防夹手功能,●,-
车窗一键升降功能,,-
车机系统存储(GB),,-
车机系统内存(GB),,-
车机智能芯片,,-
车型名称,岚图FREE 2024款 超长续航智驾版,岚图FREE 2024款 两驱增程版
车前雾灯,-,-
车内香氛装置,●,-
车内生物监测系统,●,-
车内环境氛围灯,,-
车内摄像头数量,,-
车内化妆镜,,-
车内中控锁,●,-
车内PM2.5过滤装置,●,-
车体结构,承载式,承载式
超声波雷达数量,,-
起步提醒,●,-
语音连续识别,●,-
语音识别控制系统,,-
语音助手唤醒词,,-
语音分区域唤醒识别,,-
语音免唤醒词,●,-
记忆泊车,○,-
行车电脑显示屏幕,,-
行李厢12V电源接口,●,-
蓝牙/车载电话,●,-
芯片总算力,,-
自适应远近光,●,-
自动驻车,●,-
自动泊车入位,●,-
自动头灯,●,-
自动变道辅助,○,-
能量回收系统,●,-
能源类型_y,增程式,增程式
能源类型_x,增程式,增程式
胎压监测功能,,-
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中大型SUV,中大型SUV
简称,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-
空调温度控制方式,,-
空气质量监测,●,-
空气悬架,●,-
离去角(°),25,25
百公里耗电量(kWh/100km),21,-
疲劳驾驶提示,●,-
电芯品牌,,
电能当量燃料消耗量(L/100km),2.38,-
电池预加热,●,-
电池能量密度(Wh/kg),155.1,-
电池能量(kWh),39.2,-
电池类型,,
电池特有技术,琥珀电池系统/云母电池系统,琥珀电池系统/云母电池系统
