Feature,1011868,1012070,1012071,1012072,1012073,1012074,1012075,1012076,1012077,1012078,1012079,1012080,1012081,1012082,1012083,1012084,1012085,1012086,1012087,1012088,1012089,1012090,1012091,1012092,1016008,1016009,1016010,1016011,1016012,1016013,1016014,1016015,1016062,1016063,1016064,1016065,1016066,1016067,1016070,1016071,1016072,1016073,1016074,1016075,1017853,1017854,1017855,1017856,1017857,1017858,1017859
高度(mm),2045,2045,2045,2055,2055,2505,2505,2505,2505,2635,2630,2635,2635,2045,2055,2055,2505,2505,2505,2505,2635,2630,2635,2635,2045,2045,2055,2055,2045,2045,2055,2055,2035,2035,2035,2035,2045,2045,2620,2620,2650,2650,2650,2650,2045,2055,2635,2630,2665,2035,2650
驾驶辅助影像,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5715,5715,5415,5385,5850,5415,5385,5715,5850,5510,5465,5810,5930,5415,5385,5850,5415,5385,5715,5850,5510,5465,5810,5930,5415,5415,5385,5385,5715,5715,5850,5850,5415,5415,5715,5715,5850,5850,5810,5810,5475,5475,5775,5775,5415,5385,5510,5465,5475,5415,5475
长*宽*高(mm),5715×1800×2045,5715×1800×2045,5415×1800×2045,5385×1800×2055,5850×1800×2055,5415×1810×2505,5385×1810×2505,5715×1810×2505,5850×1810×2505,5510×1840×2635,5465×1840×2630,5810×1840×2635,5930×1840×2635,5415×1800×2045,5385×1800×2055,5850×1800×2055,5415×1810×2505,5385×1810×2505,5715×1810×2505,5850×1810×2505,5510×1840×2635,5465×1840×2630,5810×1840×2635,5930×1840×2635,5415×1800×2045,5415×1800×2045,5385×1800×2055,5385×1800×2055,5715×1800×2045,5715×1800×2045,5850×1800×2055,5850×1800×2055,5415*1800*2035,5415*1800*2035,5715*1800*2035,5715*1800*2035,5850*1800*2045,5850*1800*2045,5810*1840*2620,5810*1840*2620,5475*1815*2650,5475*1815*2650,5775*1815*2650,5775*1815*2650,5415×1800×2045,5385×1800×2055,5510×1840×2635,5465×1840×2630,5475*1815*2665,5415*1800*2035,5475*1815*2650
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3600,3600,3400,3400,3600,3400,3400,3600,3600,3400,3400,3600,3600,3400,3400,3600,3400,3400,3600,3600,3400,3400,3600,3600,3400,3400,3400,3400,3600,3600,3600,3600,3400,3400,3600,3600,3600,3600,3600,3600,3400,3400,3600,3600,3400,3400,3400,3400,3400,3400,3400
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
