Feature,1019223,1019224,1019225,1019226,1019227
高度(mm),1925,1925,1925,1925,1925
驾驶辅助影像,-,,,-,
驾驶模式切换,-,-,-,-,-
驻车制动类型,-,-,-,-,-
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),4575,4575,4575,4575,4575
长*宽*高(mm),4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925
钥匙类型,,,,,
配气机构,-,-,-,-,-
远光灯光源,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,
轴距(mm),2960,2960,2960,2960,2960
轮圈材质,,,,,
车门数(个),-,-,-,-,-
车门开启方式,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车身结构_y,客车,客车,客车,货车,货车
车身结构_x,客车,客车,客车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-
车联网,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-
车型名称,金海狮M 2024款1.5L 工程狮客车5/6/7座,金海狮M 2024款1.5L 旅行狮客车5/6/7座,金海狮M 2024款1.5L 电商版5/6/7座,金海狮M 2024款1.6L 工程狮厢货2座,金海狮M 2024款1.6L 旅行狮厢货2座
车前雾灯,-,,,-,
车内环境氛围灯,-,-,-,-,-
车内化妆镜,-,-,-,-,-
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-
行车电脑显示屏幕,,,,,
蓝牙/车载电话,-,●,●,-,●
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动头灯,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,-,-
缸盖材料,-,-,-,-,-
缸体材料,-,-,-,-,-
级别,微面,微面,微面,微面,微面
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,,,,-,-
空调温度控制方式,,,,,
疲劳驾驶提示,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-
电动后备厢,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-
气缸数(个),-,-,-,-,-
气缸排列形式,-,-,-,-,-
每缸气门数(个),-,-,-,-,-
最高车速(km/h),-,-,-,-,-
最大马力(Ps),112,112,112,120,120
最大满载质量(kg),1770,1770,1770,1915,1770
最大扭矩转速(rpm),-,-,-,-,-
最大扭矩(N·m)_y,146,146,146,155,155
最大扭矩(N·m)_x,146,146,146,155,155
最大功率转速(rpm),-,-,-,-,-
最大功率(kW)_y,82,82,82,88,88
最大功率(kW)_x,82,82,82,88,88
最大净功率(kW),-,-,-,-,-
无钥匙进入功能,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,-,-,-,-,-
整车质保,-,-,-,-,-
整备质量(kg),1320,1320,1320,1290,1320
排量(mL),-,-,-,-,-
挡位个数,5,5,5,5,5
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
手机无线充电功能,-,-,-,-,-
手机互联/映射,-,-,-,-,-
感应雨刷功能,-,-,-,-,-
座椅材质,,,,,
座位数(个),,,,,
并线辅助,-,-,-,-,-
巡航系统,-,-,-,-,-
导航路况信息显示,-,-,-,-,-
宽度(mm),1700,1700,1700,1700,1700
官方0-100km/h加速(s),-,-,-,-,-
安全带未系提醒,,,,,
天窗类型,-,-,-,-,-
大灯高度可调,●,●,●,●,●
大灯延时关闭,-,-,-,-,-
多媒体/充电接口,-,,,-,
多功能方向盘,-,-,-,-,-
外后视镜功能,-,-,-,-,-
备胎规格,,,,,
后雨刷,-,-,-,-,-
后轮距(mm),-,-,-,-,-
后轮胎规格,,,,,
后排独立空调,○,○,○,-,-
后排杯架,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-
后悬架类型,,,,,
后座出风口,-,-,-,-,-
后备厢容积(L),-,-,-,-,-
后制动器类型,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机型号,SWD15F,SWD15F,SWD15F,SWD16F,SWD16F
发动机,-,-,-,-,-
厂商指导价(元),5.09万,5.59万,5.99万,5.09万,5.59万
厂商,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车
卫星导航系统,-,-,-,-,-
助力类型,,,,,
副座椅调节方式,,,,,
前轮距(mm),-,-,-,-,-
前轮胎规格,,,,,
前排座椅功能,-,-,-,-,-
前悬架类型,,,,,
前制动器类型,,,,,
前/后驻车雷达,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-
前/后排侧气囊,-,-,-,-,-
前/后中央扶手,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●
内后视镜功能,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-
供油方式,-,-,-,-,-
主座椅调节方式,,,,,
主动刹车/主动安全系统,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-
主/副驾驶座安全气囊,主○&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主○&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副●
中控彩色屏幕,-,,,-,
中控屏幕尺寸,-,,,-,
上市时间,2024.08,2024.08,2024.08,2024.08,2024.08
USB/Type-C接口数量,-,,,-,
OTA升级,-,-,-,-,-
LED日间行车灯,-,-,-,-,-
ISOFIX儿童座椅接口,●,●,●,-,-
ETC装置,○,○,○,○,○
ABS防抱死,●,●,●,●,●
