Feature,63022,66069
高度(mm),1650,1650
驾驶辅助影像,-,
驾驶模式切换,-,
驻车制动类型,,
驱动电机数,单电机,单电机
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,●,●
长度(mm),4415,4415
长*宽*高(mm),4415*1850*1650,4415*1850*1650
钥匙类型,,
远光灯光源,,
近光灯光源,,
轴距(mm),2655,2655
轮圈材质,,
车顶行李架,-,●
车门数(个),,
车门开启方式,平开门,平开门
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车载智能系统,-,
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,-,-
车窗一键升降功能,,
车型名称,蓝电E3 2023款 405km 舒适版,蓝电E3 2023款 405km 豪华版
车前雾灯,-,-
车内环境氛围灯,-,-
车内化妆镜,-,-
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
语音识别控制系统,-,
语音分区域唤醒识别,-,
行车电脑显示屏幕,,
蓝牙/车载电话,-,●
自适应远近光,-,-
自动驻车,●,●
自动头灯,-,●
能量回收系统,●,●
能源类型,纯电动,纯电动
胎压监测功能,,
缺气保用轮胎,-,-
级别,紧凑型SUV,紧凑型SUV
简称,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-
空载最小离地间隙(mm),180,180
空调温度控制方式,,
离去角(°),28,28
百公里耗电量(kWh/100km),-,14.2
疲劳驾驶提示,-,-
电芯品牌,,
电能当量燃料消耗量(L/100km),-,1.61
电池能量(kWh),50.296,50.296
电池类型,,
电池慢充电量范围(%)_y,0-100,0-100
电池慢充电量范围(%)_x,0-100,0-100
电池慢充时间(小时)_y,10,10
电池慢充时间(小时)_x,10,10
电池快充电量范围(%)_y,20-80,20-80
电池快充电量范围(%)_x,20-80,20-80
电池快充时间(小时)_y,0.67,0.67
电池快充时间(小时)_x,0.67,0.67
电池冷却方式,液冷,液冷
电机类型,永磁/同步,永磁/同步
电机布局,前置,前置
电动机总马力(Ps),122,204
电动机总扭矩(N·m),220,310
电动机总功率(kW),90,150
电动机(Ps),122,204
电动座椅记忆功能,-,-
电动后备厢,-,-
牵引力控制(ASR/TCS/TRC等),●,●
温度分区控制,-,-
液晶仪表尺寸,,
最高车速(km/h),-,165
最大满载质量(kg),2050,2050
最大扭矩(N·m),220,310
最大功率(kW),90,150
无钥匙进入功能,-,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,,
整车质保,,
整备质量(kg),1675,1675
接近角(°),20,20
换挡形式,,
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,-,
手机无线充电功率,-,
手机互联/映射,-,
手机APP远程功能,,
慢充接口位置,车左后侧,车左后侧
感应雨刷功能,-,
快充接口位置,车右后侧,车右后侧
快充功能,支持,支持
座椅材质,,
座位数(个),,
并线辅助,-,-
巡航系统,-,
导航路况信息显示,-,●
对外放电,●,●
宽度(mm),1850,1850
官方0-50km/h加速(s),4.5,3.4
官方0-100km/h加速(s),11.9,8.5
安全带未系提醒,,
天窗类型,-,
大灯高度可调,●,●
大灯延时关闭,●,●
多媒体/充电接口,,
多功能方向盘,-,●
外后视镜功能,-,
备胎规格,,
地图品牌,-,
后雨刷,●,●
后轮距(mm),1582,1582
后轮胎规格,,
后排独立空调,-,-
后排杯架,-,●
后排座椅放倒形式,,
后悬架类型,,
后座出风口,-,●
后备厢容积(L),269,269
后制动器类型,,
变速箱类型,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),13.98万,14.58万
厂商,赛力斯蓝电,赛力斯蓝电
卫星导航系统,-,●
助力类型,,
副驾驶位后排可调节按钮,-,-
副座椅调节方式,,
前轮距(mm),1580,1580
前轮胎规格,,
前电动机最大扭矩(N·m),220,310
前电动机最大功率(kW),90,150
前电动机型号,TZ200XSQ,TZ200XSQ
前电动机品牌,弗迪,弗迪
前排座椅功能,-,-
前悬架类型,,
前制动器类型,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●
制动力分配(EBD/CBC等),●,●
内置行车记录仪,-,●
内后视镜功能,,
全液晶仪表盘,-,●
低速行车警告,●,●
主座椅调节方式,,
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,-,
中控屏幕尺寸,-,
上市时间,2023.11,2023.11
上坡辅助,●,●
三电系统质保,,
Wi-Fi热点,-,●
USB/Type-C接口数量,,
OTA升级,-,-
LED日间行车灯,-,●
ISOFIX儿童座椅接口,●,●
CLTC纯电续航里程(km)_y,405,405
CLTC纯电续航里程(km)_x,405,405
ABS防抱死,●,●
4G/5G网络,,
