Feature,31322,31323,34621,34622,39443,39444
高度(mm),1647,1647,1659,1659,1659,1659
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),4345,4345,4345,4345,4345,4345
长*宽*高(mm),4345*1785*1647,4345*1785*1647,4345*1785*1659,4345*1785*1659,4345*1785*1659,4345*1785*1659
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,●,●,-,●
道路交通标识识别,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,○,-,-
轴距(mm),2530,2530,2530,2530,2530,2530
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,-,-,●,●,●,●
车门数(个),5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车载电视,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,-,-,-,-,-,-
车窗防夹手功能,-,-,●,●,●,●
车型名称,翼搏 2018款 1.5L 手动精翼型,翼搏 2018款 1.5L 自动精翼型,翼搏 2018款 改款 EcoBoost125 自动尊翼型,翼搏 2018款 改款 2.0L 自动四驱尊翼型,翼搏 2019款 1.5L 自动铂翼运动版,翼搏 2019款 1.5L 自动尊翼Plus版
车内香氛装置,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-
触摸式阅读灯,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-
行李厢12V电源接口,-,-,-,-,-,-
蓝牙/车载电话,-,-,●,●,-,●
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-
自动头灯,-,-,●,●,-,-
膝部气囊,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,5挡手动,6挡自动,6挡自动,6挡手自一体,6挡自动,6挡自动
第二排独立座椅,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
电动可调踏板,-,-,-,-,-,-
环保标准_y,国V,国V,国V,国V,国V,国V
环保标准_x,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-
涉水感应系统,-,-,-,-,-,-
油箱容积(L),52,52,52,52,52,52
气缸数(个),3,3,3,4,3,3
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),175,177,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-
最大马力(Ps),120,120,125,170,120,120
最大扭矩转速(rpm),4500,4500,1500-4500,4500,4500,4500
