Feature,1015993,1015994,1015995
高度(mm),2075,2445,2445
驾驶辅助影像,-,-,-
驾驶模式切换,-,-,-
驱动电机数,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-
长度(mm),4885,4880,4880
长*宽*高(mm),4885*1755*2075,4880*1735*2445,4880*1755*2445
钥匙类型,,,
远光灯光源,,,
近光灯光源,,,
轴距(mm),3045,3045,3045
轮圈材质,,,
车门数(个),2,2,2
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车身结构_y,货车,货车,货车
车身结构_x,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-
车联网,-,-,-
车窗防夹手功能,-,-,-
车窗一键升降功能,-,-,-
车型名称,吉奥帅豹 2023款 栏板41.6kWh菱电电机,吉奥帅豹 2023款 货箱41.6kWh菱电电机,吉奥帅豹 2023款 仓栅41.6kWh菱电电机
车前雾灯,-,-,-
车内环境氛围灯,-,-,-
车内化妆镜,-,-,-
车内中控锁,●,●,●
车内PM2.5过滤装置,-,-,-
货箱尺寸(mm),2830x1670x360,2880x1670x1600,2860x1670x360
语音识别控制系统,-,-,-
行车电脑显示屏幕,-,-,-
蓝牙/车载电话,-,-,-
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,-,-,-
能源类型,纯电动,纯电动,纯电动
胎压监测功能,-,-,-
缺气保用轮胎,-,-,-
级别,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空调温度控制方式,,,
疲劳驾驶提示,-,-,-
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),41.6,41.6,41.6
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置
电动机总扭矩(N·m),220,220,220
电动机总功率(kW),60,60,60
电动机(Ps),82,82,82
电动座椅记忆功能,-,-,-
电动后备厢,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-
温度分区控制,-,-,-
液晶仪表尺寸,-,-,-
最高车速(km/h),80,80,80
最大载重质量(kg),980,845,870
最大扭矩(N·m),220,220,220
最大功率(kW),60,60,60
无钥匙进入功能,-,-,-
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,-,-,-
整备质量(kg),1490,1625,1600
挡位个数,1,1,1
扬声器数量,-,-,-
扬声器品牌名称,-,-,-
手机无线充电功能,-,-,-
手机互联/映射,-,-,-
慢充时间(小时),13,13,13
感应雨刷功能,-,-,-
快充电量(%),80,80,80
快充时间(小时),0.8,0.8,0.8
座椅材质,,,
座位数(个),2,2,2
并线辅助,-,-,-
工信部续航里程(km),220,220,220
工信部纯电续航里程(km),220,220,220
巡航系统,-,-,-
导航路况信息显示,-,-,-
宽度(mm),1755,1735,1755
安全带未系提醒,-,-,-
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯延时关闭,-,-,-
多媒体/充电接口,-,-,-
多功能方向盘,-,-,-
外后视镜功能,-,-,-
后雨刷,-,-,-
后轮距(mm),1435,1435,1435
后轮胎规格,185R14LT,185R14LT,185R14LT
后电动机最大扭矩(N·m),220,220,220
后电动机最大功率(kW),60,60,60
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-
后制动器类型,鼓式,鼓式,鼓式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),15.08万,15.48万,15.38万
厂商,新吉奥汽车,新吉奥汽车,新吉奥汽车
卫星导航系统,-,-,-
助力类型,电动助力,电动助力,电动助力
副座椅调节方式,,,
前轮距(mm),1430,1430,1430
前轮胎规格,185R14LT,185R14LT,185R14LT
前排座椅功能,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,盘式,盘式,盘式
前/后驻车雷达,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,-,-
前/后中央扶手,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-
制动力分配(EBD/CBC等),●,●,●
内后视镜功能,-,-,-
全液晶仪表盘,-,-,-
主座椅调节方式,,,
主动刹车/主动安全系统,-,-,-
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,-,-,-
中控彩色屏幕,-,-,-
中控屏幕尺寸,-,-,-
上市时间,2023.05,2023.05,2023.05
上坡辅助,-,-,-
USB/Type-C接口数量,-,-,-
OTA升级,-,-,-
LED日间行车灯,-,-,-
ISOFIX儿童座椅接口,-,-,-
ABS防抱死,●,●,●
