Feature,1013522,1015535
高度(mm),2060,2060
驾驶辅助影像,-,-
驱动电机数,单电机,单电机
驱动方式,后置后驱,后置后驱
陡坡缓降,-,-
长度(mm),4865,4865
长*宽*高(mm),4865*1715*2060,4865*1715*2060
钥匙类型,,
远光灯光源,,
近光灯光源,,
轴距(mm),3050,3050
轮圈材质,,
车门数(个),5,5
车身结构_y,货车,货车
车身结构_x,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-
车窗防夹手功能,-,-
车型名称,御风EM26 2023款 标准版 41.472kWh 河南锂动,御风EM26 2023款 高配版 41.86kWh 宁德时代
车前雾灯,,
车内环境氛围灯,-,-
车内化妆镜,-,-
车内中控锁,●,●
车体结构,承载式,承载式
货箱尺寸(mm),2800x1550x1350,2800x1550x1350
行车电脑显示屏幕,,
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
能源类型,纯电动,纯电动
胎压监测功能,-,-
缺气保用轮胎,-,-
级别,微面,微面
简称,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-
空调温度控制方式,,
百公里耗电量(kWh/100km),-,-
电池组质保,-,-
电池类型,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),41.47,41.86
电池充电时间,-,-
电机类型,永磁/同步,永磁/同步
电机布局,后置,后置
电动机总扭矩(N·m),230,230
电动机总功率(kW),70,70
电动机(Ps),95,95
电动座椅记忆功能,-,-
电动后备厢,-,-
牵引力控制(ASR/TCS/TRC等),-,-
温度分区控制,-,-
最高车速(km/h),90,90
最小离地间隙(mm),-,-
最大载重质量(kg),1230,1230
最大满载质量(kg),-,-
最大扭矩(N·m),230,230
最大功率(kW),70,70
无钥匙进入功能,-,-
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,-,-
整车质保,-,-
整备质量(kg),1640,1640
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,-,-
慢充时间(小时),-,-
感应雨刷功能,-,-
快充电量百分比,-,-
快充电量(%),-,-
快充时间(小时),-,-
座椅材质,,
座位数(个),2,2
并线辅助,-,-
工信部续航里程(km),220,220
工信部纯电续航里程(km),220,220
巡航系统,-,-
宽度(mm),1715,1715
安全带未系提醒,,
天窗类型,-,-
大灯高度可调,●,●
多媒体/充电接口,,
多功能方向盘,-,-
外后视镜功能,-,-
后雨刷,-,-
后轮距(mm),1450,1450
后轮胎规格,195R14C,195R14C
后电动机最大扭矩(N·m),230,230
后电动机最大功率(kW),70,70
后排车门开启方式,侧滑门,侧滑门
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-
后制动器类型,鼓式,鼓式
变速箱类型,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),17.11万,17.62万
厂商,东风汽车,东风汽车
卫星导航系统,-,-
助力类型,电动助力,电动助力
副座椅调节方式,,
前轮距(mm),1470,1470
前轮胎规格,195R14C,195R14C
前电动机最大扭矩(N·m),-,-
前电动机最大功率(kW),-,-
前排座椅功能,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,盘式,盘式
前/后驻车雷达,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),-,-
准拖挂车总质量(kg),-,-
内后视镜功能,-,-
全液晶仪表盘,-,-
主座椅调节方式,,
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控彩色屏幕,-,-
上市时间,2023.03,2023.03
上坡辅助,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,●,●
