Feature,63255,63256,63257,63258,63259,63260
高度(mm),1509,1509,1509,1509,1509,1509
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,-,-,-,单电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),4766,4766,4766,4766,4766,4766
长*宽*高(mm),4766*1804*1509,4766*1804*1509,4766*1804*1509,4766*1804*1509,4766*1804*1509,4766*1804*1509
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,●,●,-,●,●
道路交通标识识别,-,-,●,-,-,●
远光灯光源,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,
辅助驾驶系统,-,-,,-,-,
辅助驾驶等级,-,-,,-,-,
轴距(mm),2730,2730,2730,2730,2730,2730
轮圈材质,,,,,,
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,-,-,●
车道偏离预警系统,-,-,●,-,-,●
车道保持辅助系统,-,-,●,-,-,●
车载空气净化器,-,-,-,-,-,-
车载智能系统,-,,,-,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,-,●,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,凌派 2024款 180Turbo CVT豪华版,凌派 2024款 180Turbo CVT智享版,凌派 2024款 180Turbo CVT旗舰版,凌派 2024款 1.5L 锐·豪华版,凌派 2024款 1.5L 锐·智享版,凌派 2024款 1.5L 锐·旗舰版
车前雾灯,,,,,,
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,,,-,,
语音分区域唤醒识别,-,,,-,,
语音免唤醒词,-,●,●,-,●,●
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,●
自动驻车,●,●,●,●,●,●
自动头灯,-,-,●,-,-,●
能源类型_y,汽油,汽油,汽油,油电混合,油电混合,油电混合
能源类型_x,汽油,汽油,汽油,油电混合,油电混合,油电混合
胎压监测功能,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
系统综合功率(kW),-,-,-,113,113,113
系统综合功率(Ps),-,-,-,154,154,154
简称,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,,,,,,
离去角(°),20,20,20,20,20,20
疲劳驾驶提示,-,-,-,-,-,-
电池类型,-,-,-,,,
电机类型,-,-,-,-,-,-
电机布局,-,-,-,前置,前置,前置
电动机总马力(Ps),-,-,-,131,131,131
电动机总扭矩(N·m),-,-,-,267,267,267
电动机总功率(kW),-,-,-,96,96,96
