Feature,35848,36114,36115,36116,36117,36118,36119,36120,36121,45436,45437,45438
高度(mm),1700,1700,1700,1700,1700,1700,1700,1700,1700,1726,1726,1726
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4695,4695,4695,4695,4695,4695,4695,4695,4695,4695,4695,4695
长*宽*高(mm),4695*1885*1700,4695*1885*1700,4695*1885*1700,4695*1885*1700,4695*1885*1700,4695*1885*1700,4695*1885*1700,4695*1885*1700,4695*1885*1700,4695*1885*1726,4695*1885*1726,4695*1885*1726
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,-,-,●,-,-,-,-,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,-,●,●,-,-,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,-,-,-,-,-,-,-,-,-,-,●
车道保持辅助系统,●,-,-,-,-,-,-,-,-,-,-,●
车载空气净化器,●,-,-,-,-,-,-,-,-,●,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,-,-,-,-,-,-,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
