Feature,66643,68747
高度(mm),1537,1537
驾驶辅助影像,-,-
驾驶模式切换,-,-
驻车制动类型,,
驱动电机数,单电机,双电机
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,-,-
长度(mm),5026,5026
长*宽*高(mm),5026*1864*1537,5026*1864*1537
钥匙类型,-,-
远光灯光源,-,-
近光灯光源,-,-
轴距(mm),2966,2966
轮圈材质,-,-
车门数(个),,
车门开启方式,平开门,平开门
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车身结构_y,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),-,-
车联网,-,-
车窗防夹手功能,-,-
车窗一键升降功能,-,-
车型名称,大众ID.7 S 2024款 单电机,大众ID.7 S 2024款 双电机
车前雾灯,-,-
车内环境氛围灯,-,-
车内化妆镜,-,-
车内中控锁,-,-
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
语音识别控制系统,-,-
行车电脑显示屏幕,-,-
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
能源类型,纯电动,纯电动
胎压监测功能,-,-
级别,中型车,中型车
简称,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-
空调温度控制方式,-,-
离去角(°),15,15
疲劳驾驶提示,-,-
电芯品牌,,
电池类型,,
电机类型,-,前交流/异步 后永磁/同步
电机布局,后置,前置+后置
电动机总马力(Ps),231,313
电动机总功率(kW),170,230
电动机(Ps),231,313
电动座椅记忆功能,-,-
电动后备厢,-,-
牵引力控制(ASR/TCS/TRC等),-,-
温度分区控制,-,-
液晶仪表尺寸,-,-
最高车速(km/h),155,155
最大满载质量(kg),2590,2690
最大扭矩(N·m),-,-
最大功率(kW),170,230
无钥匙进入功能,-,-
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘材质,-,-
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,-,-
整车质保,-,-
整备质量(kg),2130,2230
接近角(°),14,14
挡位个数,1,1
扬声器数量,-,-
扬声器品牌名称,-,-
手机无线充电功能,-,-
手机互联/映射,-,-
感应雨刷功能,-,-
座椅材质,-,-
座位数(个),,
并线辅助,-,-
巡航系统,-,-
导航路况信息显示,-,-
宽度(mm),1864,1864
官方0-100km/h加速(s),-,-
安全带未系提醒,-,-
天窗类型,-,-
大灯高度可调,-,-
大灯延时关闭,-,-
多媒体/充电接口,-,-
多功能方向盘,-,-
外后视镜功能,-,-
备胎规格,-,-
四驱形式,-,
后雨刷,-,-
后轮距(mm),1565,1565
后轮胎规格,,
后电动机最大功率(kW),170,150
后电动机型号,EEV,EEV
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,-,-
后悬架类型,,
后座出风口,-,-
后备厢容积(L),-,-
后制动器类型,,
变速箱类型,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),-,-
厂商,上汽大众,上汽大众
卫星导航系统,-,-
助力类型,,
副驾驶位后排可调节按钮,-,-
副座椅调节方式,-,-
前轮距(mm),1588,1588
前轮胎规格,,
前电动机最大功率(kW),-,80
前电动机型号,-,EDX
前排座椅功能,-,-
前悬架类型,,
前制动器类型,,
前/后驻车雷达,-,-
前/后电动车窗,-,-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),-,-
内后视镜功能,-,-
全液晶仪表盘,-,-
主座椅调节方式,-,-
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控彩色屏幕,-,-
中控屏幕尺寸,-,-
上市时间,-,-
上坡辅助,-,-
USB/Type-C接口数量,-,-
OTA升级,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,-,-
