Feature,1013835,1013836,1013837,1013842
高度(mm),1980,1980,1980,1980
驾驶辅助影像,,-,-,
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-
长度(mm),4925,4925,4925,4925
长*宽*高(mm),4925×1835×1980,4925×1835×1980,4925×1835×1980,4925×1835×1980
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,
轴距(mm),3080,3080,3080,3080
轮圈材质,,,,
车门数(个),5,5,5,5
车身结构_y,客车,客车,货车,货车
车身结构_x,客车,客车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车窗防夹手功能,-,-,-,-
车型名称,博腾V2 2022款 1.5L客车舒适型,博腾V2 2022款 1.5L客车标准型,博腾V2 2022款 1.5L厢式运输车超值版,博腾V2 2022款 1.5L厢式运输车舒适型
车前雾灯,,,-,
车内环境氛围灯,-,-,-,-
车内化妆镜,-,-,-,-
车内中控锁,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-
行车电脑显示屏幕,-,-,-,-
行程(mm),-,-,-,-
蓝牙/车载电话,●,-,-,●
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,-,-,-,-
能源类型,汽油,汽油,汽油,汽油
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-
缸体材料,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
电动座椅记忆功能,-,-,-,-
电动后备厢,-,-,-,-
环保标准_y,-,-,-,-
环保标准_x,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-
燃油标号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-
油箱容积(L),58,58,58,58
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),-,-,-,-
最小离地间隙(mm),165,165,165,165
最大马力(Ps),109,109,109,109
最大载重质量(kg),-,-,-,-
最大满载质量(kg),-,-,-,-
最大扭矩转速(rpm),-,-,-,-
最大扭矩(N·m)_y,150,150,150,150
最大扭矩(N·m)_x,150,150,150,150
最大功率转速(rpm),-,-,-,-
最大功率(kW)_y,80,80,80,80
最大功率(kW)_x,80,80,80,80
无钥匙进入功能,-,-,-,-
无钥匙启动系统,-,-,-,-
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘位置调节,-,-,-,-
整车质保,-,-,-,-
整备质量(kg),1575,1575,1480,1480
排量(mL),-,-,-,-
挡位个数,5,5,5,5
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
感应雨刷功能,-,-,-,-
座椅材质,,,,
座位数(个),7/9,7/9,2,2
并线辅助,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-
巡航系统,-,-,-,-
宽度(mm),1835,1835,1835,1835
安全带未系提醒,,,,
天窗类型,-,-,-,-
大灯高度可调,●,●,●,●
多媒体/充电接口,,,,
多功能方向盘,-,-,-,-
外后视镜功能,,-,-,-
后雨刷,-,-,-,-
后轮距(mm),1530,1530,1530,1530
后轮胎规格,205/65 R15,205/65 R15,195/70 R15,195/70 R15
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,●,○,-,-
后排杯架,-,-,-,-
后排座椅放倒形式,,,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,●,○,-,-
后制动器类型,盘式,盘式,鼓式,鼓式
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-
发动机型号,-,-,-,-
发动机,1.5L 109马力 L4,1.5L 109马力 L4,1.5L 109马力 L4,1.5L 109马力 L4
压缩比,-,-,-,-
厂商指导价(元),7.18万,6.88万,6.68万,6.88万
厂商,北汽瑞翔,北汽瑞翔,北汽瑞翔,北汽瑞翔
卫星导航系统,-,-,-,-
助力类型,电动助力,电动助力,电动助力,电动助力
副座椅调节方式,,,,
前轮距(mm),1530,1530,1530,1530
前轮胎规格,205/65 R15,205/65 R15,195/70 R15,195/70 R15
前排座椅功能,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-
前/后排侧气囊,-,-,-,-
前/后中央扶手,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●
准拖挂车总质量(kg),-,-,-,-
内后视镜功能,,-,-,-
全液晶仪表盘,-,-,-,-
侧滑门形式,,,,
供油方式,多点电喷,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,,
主/副驾驶座电动调节,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-
中控彩色屏幕,,-,-,
上市时间,2022.04,2022.04,2022.04,2022.04
上坡辅助,-,-,-,-
LED日间行车灯,●,-,-,-
ISOFIX儿童座椅接口,●,●,-,-
ABS防抱死,●,●,●,●
