Feature,1007894,1007895,1008948,1008949,1010767,1010768,1010769
高度(mm),2145,2145,2145,2145,2145,2145,2145
驾驶辅助影像,-,-,,,,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-
长度(mm),5460,5460,5460,5460,5460,5460,5460
长*宽*高(mm),5460×1800×2145,5460×1880×2145,5460×1800×2145,5460×1880×2145,5460×1780×2145,5460×1700×2145,5460×1780×2145
钥匙类型,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,
轴距(mm),3400,3400,3400,3400,3400,3400,3400
轮圈材质,,,,,,,
车门数(个),4,4,4,4,4,4,4
车身结构_y,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车型名称,东风小康D52 2019款 1.5L改款基本型后单轮国VI DK15,东风小康D52 2019款 1.5L改款基本型后双轮国VI DK15,东风小康D52 2020款 1.5L豪华型后单轮国VI DK15,东风小康D52 2020款 1.5L豪华型后双轮国VI DK15,东风小康D52 2021款 1.5L舒适型后双轮国VI,东风小康D52 2021款 1.5L标准型后单轮国VI,东风小康D52 2021款 1.5L标准型后双轮国VI
车前雾灯,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-
车内中控锁,-,-,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),2600x1600x370,2600x1680x370,2600x1600x370,2600x1680x370,2600x1680x370,2600x1600x370,2600x1680x370
行车电脑显示屏幕,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-
蓝牙/车载电话,-,-,●,●,●,-,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,
电动座椅记忆功能,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-
油箱容积(L),40,40,43,43,-,-,-
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),100,100,100,100,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-
最大马力(Ps),112,112,112,112,112,112,112
最大载重质量(kg),1055,1695,1055,1695,-,-,-
最大满载质量(kg),-,-,-,-,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-
最大扭矩(N·m)_y,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-,-
最大功率(kW)_y,82,82,82,82,82,82,82
最大功率(kW)_x,82,82,82,82,82,82,82
无钥匙进入功能,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-
整车质保,七年或20万公里,七年或20万公里,-,-,-,-,-
整备质量(kg)_y,-,-,-,-,-,-,-
整备质量(kg)_x,1410,1470,1410,1470,-,-,-
排量(mL),-,-,-,-,1498,1498,1498
挡位个数,5,5,5,5,5,5,5
扬声器数量,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-
座椅材质,,,,,,,
座位数(个),5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.3,7.7,7.3,7.7,-,-,-
巡航系统,-,-,-,-,-,-,-
宽度(mm),1800,1880,1800,1880,1780,1700,1780
安全带未系提醒,,,,,,,
天窗类型,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,
多功能方向盘,-,-,●,●,●,-,-
外后视镜功能,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-
后轮胎规格,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-
发动机型号,DK15,DK15,DK15,DK15,-,-,-
发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4
压缩比,-,-,-,-,-,-,-
厂商指导价(元),5.19万,5.29万,5.59万,5.69万,5.35万,5.09万,5.19万
厂商,东风小康,东风小康,东风小康,东风小康,东风小康,东风小康,东风小康
卫星导航系统,-,-,-,-,-,-,-
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副座椅调节方式,,,,,,,
前轮距(mm),-,-,-,-,-,-,-
前轮胎规格,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT
前排座椅功能,-,-,-,-,-,-,-
前悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式
前/后驻车雷达,-,-,-,-,-,-,-
前/后电动车窗,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●
准拖挂车总质量(kg),-,-,-,-,-,-,-
内后视镜功能,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,,,,,
主/副驾驶座电动调节,-,-,-,-,-,-,-
主/副驾驶座安全气囊,-,-,-,-,-,-,-
中控彩色屏幕,-,-,,,,-,-
