Feature,68470
高度(mm),1585
高压快充,支持
高压平台（V）,800
驾驶辅助影像,
驾驶模式切换,
驻车制动类型,
驱动电机数,双电机
驱动方式,
风阻系数(Cd),-
隐藏电动门把手,●
陡坡缓降,-
限滑差速器/差速锁,
防侧翻系统,●
长度(mm),4715
长*宽*高(mm),4715*1940*1585
钥匙类型,
遥控泊车,●
道路救援呼叫,●
道路交通标识识别,●
远程启动功能,
远光灯光源,
近光灯光源,
运动风格座椅,●
辅助驾驶等级,
辅助泊车入位,●
辅助变道,●
轴距(mm),3000
轮圈材质,
车门数(个),
车门开启方式,平开门
车道居中保持,●
车道偏离预警系统,●
车道保持辅助系统,●
车载空气净化器,●
车身结构_y,SUV
车身结构_x,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●
车联网,●
车窗防夹手功能,●
车窗一键升降功能,
车型名称,IONIQ 5 N(艾尼氪5N) 2024款 基本型
车前雾灯,-
车内环境氛围灯,
车内化妆镜,
车内中控锁,●
车内PM2.5过滤装置,●
车体结构,承载式
超声波雷达数量,
语音识别控制系统,
行车电脑显示屏幕,
行李厢12V电源接口,●
蓝牙/车载电话,●
自适应远近光,●
自动驻车,●
自动头灯,●
能量回收系统,●
能源类型,纯电动
胎压监测功能,
级别,中型SUV
简称,电动车单速变速箱
第二排座椅调节,
第二排座椅功能,
空调温度控制方式,
空气质量监测,●
疲劳驾驶提示,●
电池预加热,●
电池能量(kWh),83.3
电池类型,
电池快充电量范围(%)_y,30-80
电池快充电量范围(%)_x,30-80
电池快充时间(小时)_y,0.25
电池快充时间(小时)_x,0.25
电池冷却方式,液冷
电机类型,永磁/同步
电机布局,前置+后置
电动机总马力(Ps),650
电动机总扭矩(N·m),770
电动机总功率(kW),478
电动机(Ps),650
电动座椅记忆功能,-
电动后备厢位置记忆,●
电动后备厢,●
牵引力控制(ASR/TCS/TRC等),●
热泵空调,●
灯光特色功能,
温度分区控制,●
液晶仪表尺寸,
模拟声浪,●
最高车速(km/h),260
最大满载质量(kg),2660
最大扭矩(N·m),770
最大功率(kW),478
无钥匙进入功能,
无钥匙启动系统,●
方向盘记忆,-
方向盘材质,
方向盘换挡,-
方向盘加热,●
方向盘位置调节,
整车质保,-
整备质量(kg),-
摄像头数量,
换挡形式,
挡位个数,1
扬声器数量,
扬声器品牌名称,
手机无线充电功能,
手机互联/映射,
手机APP远程功能,
慢充接口位置,车右后侧
感应雨刷功能,
感应后备厢,●
快充接口位置,车右后侧
快充功能,支持
快充功率(kW),350
座椅材质,
座位数(个),
并线辅助,●
巡航系统,
导航路况信息显示,●
对外放电,●
宽度(mm),1940
官方0-100km/h加速(s),3.4
安全带未系提醒,
天窗类型,
大灯高度可调,●
大灯延时关闭,●
多媒体/充电接口,
多功能方向盘,●
外观套件,
外后视镜功能,
备胎规格,
四驱形式,
后雨刷,●
后轮距(mm),-
后轮胎规格,
后电动机最大功率(kW),303
后电动机型号,EM27
后排独立空调,-
后排杯架,●
后排座椅放倒形式,
后排侧窗遮阳帘,
后悬架类型,
后座出风口,●
后备厢容积(L),-
后制动器类型,
可变悬架功能,
变速箱类型,固定齿比变速箱
厂商指导价(元),38.88万
厂商,现代N
卫星导航系统,●
助力类型,
副驾驶位后排可调节按钮,-
副座椅调节方式,
前轮距(mm),-
前轮胎规格,
前电动机最大功率(kW),175
前电动机型号,EM16
前方碰撞预警,●
前方感知摄像头,
前排座椅功能,
前悬架类型,
前制动器类型,
前/后驻车雷达,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●
制动力分配(EBD/CBC等),●
内后视镜功能,
全液晶仪表盘,●
倒车车侧预警系统,●
侧窗多层隔音玻璃,
低速行车警告,●
仪表盘屏幕材质,
主座椅调节方式,
主动闭合式进气格栅,●
主动刹车/主动安全系统,●
主/副驾驶座电动调节,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控彩色屏幕,
中控屏幕类型,
中控屏幕尺寸,
上市时间,2024.08
上坡辅助,●
Wi-Fi热点,●
USB/Type-C接口数量,
OTA升级,●
LED日间行车灯,●
ISOFIX儿童座椅接口,●
HUD抬头数字显示,●
ETC装置,●
DOW开门预警,●
ABS防抱死,●
4G/5G网络,
220V/230V电源,●
