Feature,61882,61883,65046,68034
并线辅助,●,●,●,●
巡航系统,,,,
导航路况信息显示,●,●,●,●
对外放电,●,●,●,●
对外交流放电功率(kW),6,6,6,6
宽度(mm),1970,1970,1970,1970
官方0-100km/h加速(s),4.8,4.8,4.8,4.8
安全带未系提醒,,,,
天窗类型,,,,
大灯高度可调,●,●,●,●
大灯延时关闭,●,●,●,●
多层隔音玻璃,,,,
多媒体/充电接口,,,,
多功能方向盘,●,●,●,●
外后视镜功能,,,,
备胎规格,,,,
备胎放置方式,,,,
坦克转弯,●,●,●,●
地图品牌,,,,
四驱形式,,,,
后雨刷,●,●,●,●
后轮距(mm),1660,1660,1660,1660
后轮胎规格,,,,
后电动机最大扭矩(N·m),400,400,400,400
后电动机最大功率(kW),285,285,285,285
后电动机型号,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA
后方碰撞预警,●,●,●,●
后排独立空调,-,-,-,-
后排杯架,●,●,●,●
后排座椅放倒形式,,,,
后排侧隐私玻璃,●,●,●,●
后悬架类型,,,,
后座出风口,●,●,●,●
后备厢容积(L),-,-,-,-
后制动器类型,,,,
可见即可说,●,●,●,●
可变悬架功能,-,,-,
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
发动机电子防盗,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置
发动机型号,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF
发动机,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4
厂商指导价(元),30.98万,35.28万,28.98万,32.98万
厂商,方程豹,方程豹,方程豹,方程豹
卫星导航系统,●,●,●,●
助力类型,,,,
副驾驶位后排可调节按钮,-,-,-,-
副驾娱乐屏尺寸,,,-,-
副座椅调节方式,,,,
前轮距(mm),1660,1660,1660,1660
前轮胎规格,,,,
前电动机最大扭矩(N·m),360,360,360,360
前电动机最大功率(kW),200,200,200,200
前电动机型号,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB
前方碰撞预警,●,●,●,●
前方感知摄像头,,,,
前排座椅功能,,,,
前悬架类型,,,,
前制动器类型,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●
准拖挂车总质量(kg),2500,2500,2500,2500
内置行车记录仪,●,●,●,●
内后视镜功能,,,,
全液晶仪表盘,●,●,●,●
倒车车侧预警系统,●,●,●,●
供油方式,直喷,直喷,直喷,直喷
低速行车警告,●,●,●,●
低速四驱,●,●,●,●
主座椅调节方式,,,,
主动刹车/主动安全系统,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,
中控屏幕尺寸,,,,
中控屏幕分辨率,,,,
中央差速器锁止功能,●,●,●,●
上市时间,2023.11,2023.11,2023.11,2024.04
上坡辅助,●,●,●,●
三电系统质保,,,,
Wi-Fi热点,●,●,●,●
WLTC综合油耗(L/100km),1.81,1.81,1.81,1.81
WLTC纯电续航里程(km)_y,100,100,100,100
WLTC纯电续航里程(km)_x,100,100,100,100
USB/Type-C最大充电功率,,,,
USB/Type-C接口数量,,,,
OTA升级,●,●,●,●
NEDC综合续航(km),1200,1200,1200,1200
LED日间行车灯,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●
HUD抬头数字显示,●,●,-,-
HUD抬头尺寸,,,-,-
ETC装置,●,●,●,●
DOW开门预警,●,●,●,●
CLTC纯电续航里程(km)_y,125,125,125,125
CLTC纯电续航里程(km)_x,125,125,125,125
ABS防抱死,●,●,●,●
4G/5G网络,,,,
220V/230V电源,●,●,●,●
