Feature,1011881,1011882,1011883,1011884,1011885,1011886,1011887,1011888,1011889,1011890,1011891,1011892,1011893,1011894,1011895,1011896,1011897,1011898,1016244
高度(mm),1980,2066,2260,1980,2066,2260,1980,2066,2260,1980,2066,2260,1980,2066,2260,1980,2066,2260,2260
驾驶辅助影像,,,,,,,,,,,,,,,,,,,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,-
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4740,4740,4740,5030,5030,5030,5330,5330,5330,4740,4740,4740,5030,5030,5030,5330,5330,5330,5330
长*宽*高(mm),4740×1700×1980,4740×1700×2066,4740×1700×2260,5030×1700×1980,5030×1700×2066,5030×1700×2260,5330×1700×1980,5330×1700×2066,5330×1700×2260,4740×1700×1980,4740×1700×2066,4740×1700×2260,5030×1700×1980,5030×1700×2066,5030×1700×2260,5330×1700×1980,5330×1700×2066,5330×1700×2260,5330*1700*2260
钥匙类型,,,,,,,,,,,,,,,,,,,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,-
远光灯光源,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-
近光灯光源,,,,,,,,,,,,,,,,,,,
轴距(mm),2330,2330,2330,2590,2590,2590,2890,2890,2890,2330,2330,2330,2590,2590,2590,2890,2890,2890,2890
轮圈材质,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,金旅海狮 2021款 1.8L汽油版物流车龙运GL650短轴低顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版物流车龙运GL650短轴中顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版物流车龙运GL650短轴高顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版物流车龙运GL750标轴低顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版物流车龙运GL750标轴中顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版物流车龙运GL750标轴高顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版物流车龙运GL850长轴低顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版物流车龙运GL850长轴中顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版物流车龙运GL850长轴高顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版短轴低顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版短轴中顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版短轴高顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版标轴低顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版标轴中顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版标轴高顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版长轴低顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版长轴中顶LJ4A18Q6,金旅海狮 2021款 1.8L汽油版长轴高顶LJ4A18Q6,金旅海狮 2023款 2.2L CNG物流车
车前雾灯,,,,,,,,,,,,,,,,,,,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,CNG
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,CNG
胎压监测功能,,,,,,,,,,,,,,,,,,,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,-
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,,,,,,,,,,,,,,,,,,,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,-
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-
最高车速(km/h),120,120,120,120,120,120,120,120,120,130,130,130,130,130,130,130,130,130,-
最小离地间隙(mm),165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,-
最大马力(Ps),133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,95
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3490
