Feature,1009627,1010184,1013463,1013464
高度(mm),1713,1713,1713,1713
驾驶辅助影像,,,,
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,●,●,●,●
长度(mm),4905,4905,4905,4905
长*宽*高(mm),4905×1831×1713,4905×1831×1713,4905×1831×1713,4905×1831×1713
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,-,-,●
远光灯光源,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,
轴距(mm),2670,2670,2670,2670
轮圈材质,,,,
车顶行李架,●,●,●,●
车门数(个),4,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车窗防夹手功能,●,●,●,●
车型名称,远程FX 2020款 1.8T智慧版4座,远程FX 2020款 1.8T智联版4座,远程FX 2021款 1.8T智联版5座,远程FX 2021款 1.8T智慧版5座
车前雾灯,-,-,-,-
车内环境氛围灯,-,-,-,-
车内化妆镜,,,,
车内中控锁,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
货箱尺寸(mm),1125x1230x460,1125x1230x460,1125x1230x460,1125x1230x460
行车电脑显示屏幕,,,,
行程(mm),-,-,-,-
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,-,-
自动驻车,●,●,●,●
自动头灯,●,●,●,●
能源类型,汽油,汽油,汽油,汽油
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡
简称,7挡双离合,7挡双离合,7挡双离合,7挡双离合
第二排座椅调节,,,,
空调温度控制方式,,,,
电动座椅记忆功能,-,-,-,-
电动后备厢,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●
油箱容积(L),58,58,58,58
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),150,150,150,150
最小离地间隙(mm),-,-,-,-
最大马力(Ps),184,184,184,184
最大载重质量(kg),-,-,-,-
最大满载质量(kg),-,-,-,-
最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000
最大扭矩(N·m)_y,300,300,300,300
最大扭矩(N·m)_x,300,300,300,300
最大功率转速(rpm),5500,5500,5500,5500
最大功率(kW)_y,135,135,135,135
最大功率(kW)_x,135,135,135,135
无钥匙进入功能,,,,
无钥匙启动系统,●,●,●,●
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘位置调节,,,,
整车质保,-,-,-,-
整备质量(kg),1710,1710,1710,1710
排量(mL),1799,1799,1799,1799
挡位个数,7,7,7,7
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
感应雨刷功能,-,-,-,-
座椅材质,,,,
座位数(个),4,4,5,5
并线辅助,-,-,-,-
工信部综合油耗(L/100km),8.5,8.5,8.5,8.5
巡航系统,,,,
宽度(mm),1831,1831,1831,1831
安全带未系提醒,,,,
天窗类型,,,,
大灯高度可调,●,●,●,●
多媒体/充电接口,,,,
多功能方向盘,●,●,●,●
外后视镜功能,,,,
后雨刷,-,-,-,-
后轮距(mm),-,-,-,-
后轮胎规格,225/60 R18,225/60 R18,225/60 R18,225/60 R18
后排车门开启方式,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-
后排杯架,-,-,-,-
后排座椅放倒形式,,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式
变速箱类型,双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
变速箱,7挡双离合,7挡双离合,7挡双离合,7挡双离合
发动机电子防盗,●,●,●,●
发动机型号,-,-,-,-
发动机,1.8T 184马力 L4,1.8T 184马力 L4,1.8T 184马力 L4,1.8T 184马力 L4
压缩比,-,-,-,-
厂商指导价(元),12.99万,11.99万,11.99万,12.99万
厂商,吉利远程,吉利远程,吉利远程,吉利远程
卫星导航系统,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力
副座椅调节方式,,,,
前轮距(mm),-,-,-,-
前轮胎规格,225/60 R18,225/60 R18,225/60 R18,225/60 R18
前排座椅功能,,-,-,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●
准拖挂车总质量(kg),-,-,-,-
内后视镜功能,,,,
全液晶仪表盘,-,-,-,-
供油方式,直喷,直喷,直喷,直喷
主座椅调节方式,,,,
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,
上市时间,2020.12,2020.12,2022.03,2022.03
上坡辅助,●,●,●,●
LED日间行车灯,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●
ABS防抱死,●,●,●,●
